Antigen,Num_Sequences,Num_Parameters,Term,Coefficient,StdError,pValue,CI_Lower,CI_Upper
H1,1887,562,Intercept,6.868699594931859,,,,
H1,1887,562,29,0.8073033393322746,0.0792868565216999,1.7023471725158532e-23,0.49562747642827665,1.1189792022362726
H1,1887,562,35,0.5736129620637076,0.08639290469385687,4.5767280636796355e-11,0.23400329281327892,0.9132226313141363
H1,1887,562,65,0.07351089725361351,0.07922994947831333,0.3536714606241952,-0.23794126461554813,0.3849630591227752
H1,1887,562,66,-0.05492991079546723,0.07908748523720828,0.4874615137713525,-0.3658220471165454,0.255962225525611
H1,1887,562,69,0.02455746490179507,0.08011362692172636,0.7592470712400705,-0.29036842441460337,0.3394833542181935
H1,1887,562,82,0.08505559814348385,0.07887815039905939,0.281088874153138,-0.22501364496201998,0.39512484124898767
H1,1887,562,83,1.34160851322306,0.09788656140624764,4.417675835120013e-40,0.9568173910696991,1.7263996353764208
H1,1887,562,84,0.0629643343612902,0.08327512179842392,0.44972353693626066,-0.2643893606090201,0.39031802933160054
H1,1887,562,85,0.3199521813668576,0.07900372338721369,5.422525054891151e-05,0.00938931206456145,0.6305150506691537
H1,1887,562,87,0.2425410938853128,0.07983263526207882,0.0024271667588777247,-0.07128021994617528,0.5563624077168009
H1,1887,562,112.1,0.06319712451346066,0.07958049400061681,0.4272629296224737,-0.2496330244681716,0.3760272734950929
H1,1887,562,"29,35",0.9758189957347667,0.08238830812209966,7.79902471413927e-31,0.6519513567128062,1.299686634756727
H1,1887,562,"29,65",0.1866425695992177,0.08002075005622966,0.01982736125073778,-0.12791822166099054,0.501203360859426
H1,1887,562,"29,66",0.48549021391961145,0.08004030131317455,1.7126185936073733e-09,0.17085256685824668,0.8001278609809762
H1,1887,562,"29,69",0.04625274679194913,0.08032406536914626,0.5648300636568819,-0.26950037401734905,0.3620058676012473
H1,1887,562,"29,82",0.2525742081071322,0.07960238243652985,0.0015436585858761515,-0.060341984103480184,0.5654904003177446
H1,1887,562,"29,83",0.18083422260054677,0.08868717536902188,0.04164693336915661,-0.16779420239058512,0.5294626475916786
H1,1887,562,"29,84",-0.32482943328894076,0.08378097476195034,0.00011087624571953368,-0.6541716313457178,0.0045127647678362415
H1,1887,562,"29,85",0.38341259919847925,0.07971578846351614,1.6841381125289052e-06,0.07005060899725296,0.6967745893997055
H1,1887,562,"29,87",0.3057741069859337,0.08061065765057426,0.00015540403466257171,-0.011105605298097121,0.6226538192699645
H1,1887,562,"29,112.1",0.4747769535704622,0.08030855250621333,4.296190183322243e-09,0.15908481367468286,0.7904690934662415
H1,1887,562,"35,65",-0.11145251484478852,0.0825272290386365,0.1770882336008697,-0.4358662506403698,0.21296122095079278
H1,1887,562,"35,66",0.3844028367118312,0.0825607372732078,3.5478753936817196e-06,0.059857380371602764,0.7089482930520596
H1,1887,562,"35,69",0.1411761151556576,0.08295072662416755,0.08900355942451806,-0.18490238553537675,0.4672546158466919
H1,1887,562,"35,82",0.7203178667694757,0.08244986264418808,7.130755360037066e-18,0.39620825751904115,1.0444274760199104
H1,1887,562,"35,83",-0.04125134499719618,0.09120336583249421,0.6511264191570731,-0.39977089026144563,0.31726820026705327
H1,1887,562,"35,84",-0.5383892658895503,0.08649799089106223,6.477773496843202e-10,-0.8784120279605314,-0.19836650381856918
H1,1887,562,"35,85",0.4799743096064932,0.08255910922652614,7.647652453319169e-09,0.15543525310195777,0.8045133661110286
H1,1887,562,"35,87",0.5304842792588266,0.0830521288742489,2.3305851587103863e-10,0.2040071673076036,0.8569613912100496
H1,1887,562,"35,112.1",0.33944479292889207,0.08251673902687312,4.134524543844605e-05,0.01507229326766718,0.6638172925901169
H1,1887,562,"65,66",-0.012904849472487889,0.08082082763405261,0.8731635384746312,-0.33061073792027174,0.304801038975296
H1,1887,562,"65,69",0.01688625786906628,0.08117678788019944,0.8352466428482743,-0.30221890684901553,0.3359914225871481
H1,1887,562,"65,82",-0.15540680507467455,0.07997874414592686,0.05221547540005549,-0.46980247150946974,0.15898886136012066
H1,1887,562,"65,83",0.24710640517006702,0.0917443693159419,0.0071614891433921255,-0.11353981953305611,0.6077526298731901
H1,1887,562,"65,84",0.00809260278308803,0.08415529961817875,0.923405877980029,-0.32272106264784917,0.33890626821402525
H1,1887,562,"65,85",-0.17106779767868835,0.08009489911634027,0.032877460887762895,-0.48592006817401007,0.14378447281663337
H1,1887,562,"65,87",-0.06872169475189319,0.08098708298570506,0.3962842829002272,-0.3870811313722484,0.24963774186846202
H1,1887,562,"65,112.1",0.030145983857885805,0.08065126193682814,0.7086263678885814,-0.28689334348103523,0.34718531119680685
H1,1887,562,"66,69",0.07809043674960667,0.08051970660421175,0.33230817384262157,-0.2384317478545457,0.3946126213537591
H1,1887,562,"66,82",0.05186129005296097,0.07993718053720623,0.5165958748663994,-0.2623709902396449,0.36609357034556683
H1,1887,562,"66,83",0.26124102521035475,0.09043780165954683,0.003932198562636901,-0.09426909472566952,0.616751145146379
H1,1887,562,"66,84",0.07042814442994924,0.08387873153558408,0.4012603537932389,-0.2592983345545079,0.40015462341440644
H1,1887,562,"66,85",0.019180123058698442,0.08023385939167021,0.8111016650932751,-0.2962183989292775,0.33457864504667434
H1,1887,562,"66,87",0.014778976654501688,0.08083289221923459,0.8549564770676834,-0.3029743375604539,0.33253229086945724
H1,1887,562,"66,112.1",0.11379580889460275,0.08052061119499843,0.1578168996088413,-0.20272993164714617,0.4303215494363517
H1,1887,562,"69,82",-0.081434014525553,0.08012400572251545,0.3096484024300883,-0.39640070280704803,0.23353267375594206
H1,1887,562,"69,83",-0.10656083428360488,0.09018240967313734,0.23757076356520782,-0.46106701080157775,0.247945342234368
H1,1887,562,"69,84",0.01778462883341969,0.0842115257308161,0.8327715199263526,-0.3132500609001923,0.3488193185670317
H1,1887,562,"69,85",-0.022757603521505673,0.08025774002056545,0.7767945787236469,-0.3382500000297254,0.292734792986714
H1,1887,562,"69,87",0.06978282675182555,0.08074736683551009,0.3876279738538395,-0.24763428801038417,0.3871999415140353
H1,1887,562,"69,112.1",-0.14306519853860566,0.08065554280256475,0.07632915941655495,-0.46012135391915887,0.17399095684194754
H1,1887,562,"82,83",-0.2274970331763519,0.08970869272867317,0.011328263946857393,-0.580141032986667,0.12514696663396319
H1,1887,562,"82,84",0.05042177556463201,0.08394421956860862,0.5481704572507486,-0.27956213624158455,0.38040568737084857
