,variant,correct_counts_6261_a_F_8,correct_counts_6261_a_F_6,correct_counts_6261_a_F_7,correct_counts_6261_a_F_5,correct_counts_6261_a_F_4,correct_counts_6261_a_F_1,correct_counts_6261_a_F_3,correct_counts_6261_a_F_2,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
0,10000100110,850.0,323.0,522.0,301.0,288.0,379.0,105.0,126.0,15446.449298327903,5943.241706161138,3054.6317946941485,7606.088811162542,5136.518954406775,5414.149380301438,9905.579191006282,12966.212332417217,3.2886107771056396
1,10000100100,805.0,356.0,443.0,315.0,302.0,394.0,176.0,186.0,16057.786341797346,8773.356804333107,5120.144722534954,7975.829239482943,5375.426812751276,5967.297769000967,8406.458968612611,12279.7657971716,3.2193901473102415
2,10101100111,793.0,274.0,201.0,213.0,184.0,198.0,137.0,95.0,8069.648973796636,4481.01557210562,3985.567198791413,4859.445629353846,3634.812416241339,4592.807833444564,3814.2172746978213,12096.71338777277,3.345277745831617
3,10010100111,752.0,366.0,395.0,331.0,275.0,400.0,225.0,242.0,16302.321159185123,11414.797562626947,6545.639560058889,7262.758413436455,5648.4643651449915,6134.918492849308,7495.601111968355,11471.284322326763,3.1680613982337076
4,00000100100,746.0,439.0,397.0,466.0,308.0,431.0,222.0,164.0,17565.75104902197,7735.647935003385,6458.364365924771,8134.28942304883,7952.218713466967,7358.549776942203,7533.553522661866,11379.758117627347,3.20251914187794
5,10001100111,742.0,391.0,362.0,271.0,135.0,319.0,126.0,123.0,13001.101124450135,5801.735951252539,3665.5581536329782,3565.3541302324415,4624.573543668558,6553.970302470162,6869.38633552543,11318.740647827735,3.27922903753729
6,10000100111,738.0,295.0,340.0,270.0,205.0,305.0,127.0,161.0,12430.519883878656,7594.142180094786,3694.649885011018,5414.056271834448,4607.508696643951,4944.811353526082,6451.9098178968125,11257.723178028125,3.246262844809736
7,10000000111,719.0,241.0,386.0,255.0,247.0,212.0,110.0,108.0,8640.230214368115,5094.207176709547,3200.0904515843463,6523.277556795652,4351.535991274843,4039.659444745036,7324.815263847558,10967.890196479977,3.3471978125826327
8,10111100111,707.0,217.0,292.0,215.0,179.0,212.0,151.0,119.0,8640.230214368115,5613.061611374407,4392.851438083966,4727.395476382275,3668.9421102905535,3637.369707509016,5541.051961252557,10784.837787081146,3.3006561842707844
9,10010000111,706.0,353.0,375.0,352.0,276.0,345.0,156.0,142.0,14060.751999797169,6697.939065673663,4538.310094974164,7289.16844403077,6006.826152661743,5917.011551846464,7116.0770050332485,10769.583419631243,3.2379256501888993
10,10001001111,697.0,290.0,356.0,264.0,232.0,295.0,114.0,164.0,12022.961854899027,7735.647935003385,3316.457377096504,6127.127097880937,4505.119614496308,4861.000991601911,6755.529103444897,10632.294112582118,3.2457731999836406
11,10011000111,694.0,243.0,250.0,185.0,193.0,203.0,94.0,96.0,8273.42798828645,4528.184157075152,2734.622749535714,5097.135904702676,3156.996699552337,4073.1835895147046,4744.051336688833,10586.531010232411,3.331867748117659
12,10001001101,691.0,366.0,288.0,448.0,356.0,286.0,208.0,233.0,11656.159628817362,10990.28029790115,6051.080126632218,9401.97089157592,7645.051467024037,6134.918492849308,5465.147139865535,10540.767907882702,3.2061590091529473
13,10010100101,680.0,265.0,368.0,273.0,246.0,236.0,198.0,147.0,9618.369483919221,6933.781990521327,5760.162812851823,6496.8675262013385,4658.703237717773,4441.949181981056,6983.243567605961,10372.969865933774,3.2700910976775033
14,10100100111,664.0,256.0,240.0,332.0,152.0,250.0,141.0,101.0,10188.950724490702,4764.027081922816,4101.934124303571,4014.3246503357864,5665.529212169598,4291.090530517549,4554.289283221279,10128.899986735332,3.276694445476612
15,00000100110,662.0,225.0,376.0,328.0,214.0,215.0,176.0,104.0,8762.497623062003,4905.532836831415,5120.144722534954,5651.7465471832775,5597.26982407117,3771.4662865876894,7135.053210380004,10098.391251835528,3.315318149238298
16,10001100011,657.0,281.0,399.0,347.0,296.0,315.0,139.0,140.0,12838.077912858284,6603.601895734597,4043.7506615474917,7817.369055917057,5921.501917538707,4710.142340138404,7571.505933355376,10022.119414586014,3.2441430677762453
