,variant,correct_counts_6261_b_F_8,correct_counts_6261_b_F_5,correct_counts_6261_b_F_4,correct_counts_6261_b_F_6,correct_counts_6261_b_F_7,correct_counts_6261_b_F_3,correct_counts_6261_b_F_2,correct_counts_6261_b_F_1,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
0,10100100111,536.0,160.0,243.0,497.0,315.0,160.0,154.0,172.0,8664.977978979137,5776.727962863225,8344.794893771876,10053.304982844733,4842.628403057773,9707.798983259192,9067.380241544675,23256.91993767443,3.4635832072208337
1,10001100111,528.0,140.0,224.0,354.0,304.0,113.0,210.0,130.0,6549.111263181906,7877.356312995306,5893.511393726388,9267.244099412428,4237.299852675551,6914.609336164495,8750.741566443116,22909.801729649436,3.4821184743916516
2,01010100111,463.0,1068.0,771.0,689.0,711.0,230.0,329.0,846.0,42619.600989629944,12341.19155702598,11995.642659797073,31897.523217174028,32324.54459041063,13458.09557236536,20466.37254520084,20089.466289446384,3.200471812199814
3,01100100111,460.0,554.0,527.0,489.0,416.0,151.0,378.0,527.0,26549.089505360495,14179.241363391551,7875.400180997209,21802.84660888549,16767.600845587538,9551.53662537977,11974.698985659,19959.29696143701,3.2162929947535366
4,00100100110,460.0,248.0,200.0,368.0,235.0,156.0,169.0,201.0,10125.933568458178,6339.396270934318,8136.17502142758,8274.325088761098,7506.074024739548,7188.068462453487,6764.55351353333,19959.29696143701,3.388685604957788
5,00101100011,459.0,339.0,297.0,455.0,311.0,134.0,151.0,231.0,11637.266936884771,5664.1943012490065,6988.765723533947,12287.37275681023,10260.318928978655,8887.421604392219,8952.23890514411,19915.907185433887,3.3995675863120915
6,10101100111,449.0,86.0,142.0,303.0,227.0,57.0,256.0,106.0,5340.044568440631,9602.87245774666,2972.833180906231,5874.770813020379,2602.912766643553,5918.43680468317,6534.270840732195,19482.009425402648,3.467730754089677
7,10000100100,441.0,181.0,179.0,495.0,408.0,175.0,255.0,133.0,6700.244600024565,9565.361237208586,9127.11941506299,7405.520954441182,5478.223380959105,9668.733393789336,11744.416312857866,19134.891217377655,3.429602512935405
8,00101100111,435.0,229.0,180.0,231.0,235.0,118.0,283.0,216.0,10881.600252671475,10615.675412274628,6154.286234156759,7446.892579884987,6931.011901876437,4512.075583768357,6764.55351353333,18874.552561358912,3.3214915874877526
9,00100100111,425.0,300.0,266.0,342.0,343.0,79.0,154.0,308.0,15516.355915846361,5776.727962863225,4120.242478799864,11004.85236805226,9079.928255733324,6680.21579934536,9873.369596348648,18440.654801327673,3.3500128049016027
10,10000100101,424.0,204.0,207.0,378.0,307.0,132.0,226.0,159.0,8010.066852660946,8477.535841604473,6884.455787361798,8563.926466867735,6174.35121389866,7383.396409802766,8837.097568743542,18397.26502532455,3.4028970637594522
11,00101100110,422.0,176.0,118.0,366.0,263.0,130.0,178.0,141.0,7103.26683160499,6676.997255776974,6780.14585118965,4881.851802369048,5326.89124336355,7149.00287298363,7570.542868337301,18310.485473318302,3.440573965372692
12,10000100110,417.0,175.0,185.0,431.0,423.0,108.0,257.0,114.0,5743.066800021056,9640.383678284732,5632.736553296017,7653.7507071040145,5296.624815844439,8418.634530753949,12176.196324359993,18093.53659330268,3.4611136305789927
13,01001100111,417.0,457.0,462.0,362.0,363.0,129.0,309.0,484.0,24382.84501061571,11590.967146264522,6727.9908831035755,19113.690955038135,13831.757376233763,7070.871694043919,10449.076278351484,18093.53659330268,3.2090632057535435
14,10000100111,416.0,165.0,207.0,356.0,291.0,104.0,239.0,170.0,8564.22242108403,8965.18170859942,5424.11668095172,8563.926466867735,4993.960540653328,6953.674925634351,8376.532223141272,18050.146817299556,3.3898226989143416
15,10010100111,410.0,161.0,268.0,576.0,353.0,196.0,424.0,242.0,12191.422505307855,15904.757508142904,10222.373744870549,11087.59561893987,4872.894830576884,11250.8897673185,10161.222937350065,17789.808161280813,3.2723025183412937
16,01000100111,405.0,761.0,593.0,432.0,427.0,153.0,300.0,561.0,28261.9339895773,11253.366161421867,7979.710117169357,24533.37388817665,23032.75134204353,8438.167325488876,12291.33766076056,17572.859281265195,3.212610620973809
17,10111100111,402.0,146.0,170.0,354.0,292.0,46.0,206.0,137.0,6901.755715814777,7727.311430843015,2399.1285319594144,7033.176325446932,4418.8984177902175,6914.609336164495,8405.317557241415,17442.689953255824,3.462125858174469
18,01010100101,400.0,796.0,553.0,599.0,433.0,227.0,210.0,763.0,38438.24533698303,7877.356312995306,11839.177755538849,22878.508870424434,24092.07630521242,11700.144046221843,12464.049665361412,17355.910401249574,3.164119442573125
19,10001100110,394.0,120.0,135.0,248.0,218.0,77.0,126.0,68.0,3425.6889684336124,4726.413787797184,4015.9325426277155,5585.169434913741,3631.9713022933297,4844.1330942621325,6275.202833830918,17095.57174523083,3.54824470115379
20,00000100111,391.0,229.0,260.0,213.0,283.0,103.0,222.0,357.0,17984.867084276466,8327.490959452181,5371.9617128656455,10756.622615389426,6931.011901876437,4160.485278539654,8146.249550340138,16965.40241722146,3.2373968458036515
21,00100000111,390.0,148.0,139.0,350.0,232.0,129.0,174.0,120.0,6045.333473706375,6526.952373624683,6727.9908831035755,5750.655936688962,4479.431272828439,6836.478157224784,6678.197511232905,16922.012641218334,3.4336100432183088
22,01000100101,382.0,958.0,425.0,491.0,353.0,182.0,334.0,493.0,24836.245021143688,12528.747659716344,9492.204191665509,17582.94081361733,28995.237563308416,9590.602214849625,10161.222937350065,16574.89443319334,3.2258638199972456
23,10010000111,380.0,186.0,197.0,344.0,327.0,186.0,328.0,216.0,10881.600252671475,12303.680336487907,9700.824064009807,8150.210212429681,5629.555518554661,6719.281388815216,9412.804250746378,16488.114881187095,3.28188680119588
