,variant,correct_counts_6261_c_F_8,correct_counts_6261_c_F_1,correct_counts_6261_c_F_3,correct_counts_6261_c_F_2,correct_counts_6261_c_F_6,correct_counts_6261_c_F_7,correct_counts_6261_c_F_5,correct_counts_6261_c_F_4,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
0,10000100110,1104.0,266.0,157.0,77.0,137.0,171.0,129.0,278.0,10458.185532492771,6164.515804453133,9724.838166017817,7602.138138865106,6468.444610220067,6449.915145335438,10472.072614282115,24971.631182656107,3.501626566854224
1,10010100111,909.0,383.0,150.0,160.0,168.0,190.0,159.0,267.0,15058.21450731102,12809.383489772743,9291.246655431034,7301.33411178771,7972.734054457292,7909.384995739807,11635.63623809124,20560.88110963261,3.3574772691780654
2,00100100111,905.0,213.0,99.0,77.0,290.0,190.0,205.0,273.0,8374.41172338707,6164.515804453133,6132.222792584483,7465.409035648107,10279.311202287703,13653.105052169905,11635.63623809124,20470.40418505777,3.5563060783944667
3,10010000111,897.0,245.0,143.0,109.0,203.0,192.0,157.0,401.0,9632.539306243341,8726.392502407682,8857.655144844253,10965.674078003265,7872.448091508144,9557.173536518934,11758.116619544831,20289.450335908088,3.467690705341396
4,10001100111,857.0,244.0,109.0,86.0,135.0,166.0,107.0,295.0,9593.222819279083,6885.04362575285,6751.639236279885,8067.0170898029,5365.299017779435,6355.755800148059,10165.871660648136,19384.681090159676,3.472705948547723
5,00000100111,857.0,206.0,96.0,83.0,210.0,208.0,175.0,277.0,8099.196314637259,6644.867685319611,5946.397859475862,7574.792318221706,8775.02175805048,9886.731244674758,12737.959671173567,19384.681090159676,3.5402277864343423
6,00101100110,856.0,156.0,71.0,77.0,192.0,99.0,234.0,204.0,6133.371966424332,6164.515804453133,4397.856750237356,5578.547411253531,11733.457665050355,9039.297137988351,6062.778881952803,19362.06185901597,3.5601513025068785
7,10111100111,850.0,156.0,88.0,97.0,125.0,157.0,172.0,237.0,6133.371966424332,7765.6887406747255,5450.86470451954,6480.95949248572,8624.592813626756,5884.959074211166,9614.709944106971,19226.346472153706,3.5303636141174652
8,00100100110,850.0,191.0,101.0,80.0,209.0,147.0,214.0,309.0,7509.449010173381,6404.691744886371,6256.106081323564,8449.858578810496,10730.59803555887,9839.65157208107,9002.308036839011,19226.346472153706,3.52795970098154
9,10100100111,819.0,326.0,121.0,114.0,166.0,213.0,117.0,240.0,12817.174750348284,9126.68573646308,7494.9389687143685,6562.9969544159185,5866.7288325251775,7815.225650552428,13044.160624807548,18525.150306698688,3.4146843422004207
10,10101100111,810.0,145.0,93.0,62.0,130.0,114.0,111.0,174.0,5700.8906098174875,4963.636102286938,5760.572926367242,4758.1727919515415,5565.870943677733,6120.357437179612,6981.381742854744,18321.577226405298,3.553483464427226
11,01100100111,797.0,255.0,242.0,75.0,386.0,319.0,305.0,302.0,10025.704175885927,6004.3985108309735,14989.877937428737,8258.437834306698,15293.60934974512,18172.75362116408,19535.620841847922,18027.527221537064,3.510602560189503
12,00101100111,796.0,215.0,101.0,69.0,154.0,117.0,152.0,166.0,8453.044697315585,5524.046629964496,6256.106081323564,4539.4062268043435,7621.7331841352725,7250.269579428156,7165.102315035131,18004.907990393353,3.4926861802322575
13,10001100110,793.0,176.0,84.0,49.0,106.0,96.0,81.0,207.0,6919.701705709503,3922.8736937429026,5203.0981270413795,5660.58487318373,4061.5814994405073,4990.445294931069,5879.058309772416,17937.05029696222,3.529875561807707
14,01101100111,793.0,247.0,207.0,57.0,338.0,276.0,215.0,237.0,9711.172280171859,4563.34286823154,12821.920384494828,6480.95949248572,10780.741017033446,15912.929336666992,16902.292640595693,17937.05029696222,3.520950237356947
15,00001100111,793.0,172.0,84.0,54.0,175.0,168.0,131.0,178.0,6762.435757852469,4323.166927798301,5203.0981270413795,4867.55607452514,6568.730573169216,8238.942703895633,10288.352042101727,17937.05029696222,3.575132885207088
16,01000100111,786.0,322.0,333.0,140.0,428.0,306.0,332.0,290.0,12659.908802491249,11208.210553551151,20626.5675750569,7930.287986585902,16647.469849558624,20150.09987009903,18739.498362399576,17778.71567895625,3.4193049743477504
17,10001000011,785.0,190.0,125.0,69.0,148.0,138.0,136.0,311.0,7470.132523209122,5524.046629964496,7742.705546192529,8504.550220097295,6819.445480542086,6967.79154386602,8451.146320297847,17756.09644781254,3.4929044469031467
18,00010100111,785.0,147.0,100.0,49.0,218.0,180.0,210.0,223.0,5779.523583746005,3922.8736937429026,6194.164436954024,6098.118003478125,10530.026109660574,10263.368625424273,11023.23433082328,17756.09644781254,3.5957391140464563
19,10000100111,776.0,221.0,135.0,72.0,131.0,141.0,112.0,319.0,8688.943619101137,5764.222570397735,8362.121989887932,8723.316785244493,5616.013925152306,6167.437109773302,8634.866892478236,17552.52336751915,3.4570214754493462
20,00101000111,775.0,183.0,157.0,115.0,108.0,115.0,121.0,204.0,7194.917114459312,9206.74438327416,9724.838166017817,5578.547411253531,6067.300758423474,5084.604640118448,7042.621933581539,17529.904136375437,3.4108117221591527
21,00000100110,768.0,159.0,101.0,71.0,241.0,160.0,233.0,301.0,6251.321427317107,5684.163923586655,6256.106081323564,8231.092013663298,11683.31468357578,11346.201095079128,9798.430516287359,17371.569518369466,3.551541227948799
