,variant,correct_counts_6261_x_F_1,correct_counts_6261_x_F_2,correct_counts_6261_x_F_3,correct_counts_6261_x_F_7,correct_counts_6261_x_F_6,correct_counts_6261_x_F_4,correct_counts_6261_x_F_5,correct_counts_6261_x_F_8,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
0,10001001101,539.0,356.0,796.0,596.0,473.0,466.0,560.0,654.0,42437.749730225805,26945.297424625267,32536.20148773237,10884.386420749432,15086.673647610227,11976.040469801283,12937.402983842596,12719.054367578317,3.062962970424799
1,00000001011,406.0,488.0,335.0,307.0,281.0,249.0,450.0,374.0,31966.097199390864,36936.25040229531,13692.999369837116,5815.906048855382,12123.219895401075,7114.730173391459,6664.064959798116,7273.587665862829,2.9459966799165116
2,00000111011,378.0,290.0,271.0,270.0,586.0,807.0,801.0,117.0,29761.538771846666,21949.820935790245,11077.02337082346,18849.14129086865,21579.331413813914,14837.124133834146,5860.904036304532,2275.4271575025427,3.1053919419511793
3,01010000111,376.0,192.0,159.0,468.0,432.0,413.0,594.0,399.0,29604.070312736367,14532.295240247335,6499.065372549557,9646.46264328222,16002.650261929419,10937.948166922102,10158.900329594522,7759.79004994457,3.1626566382888335
4,11000011110,366.0,123.0,396.0,313.0,389.0,621.0,502.0,129.0,28816.72801718487,9309.75163828345,16186.35149389701,14504.729543530893,13524.12530553631,9849.217215121986,6794.307271715995,2508.804301861778,3.0849183314648414
5,01010100111,365.0,141.0,200.0,797.0,683.0,538.0,682.0,583.0,28737.99378762972,10672.154317056637,8174.924996917682,12566.094193912433,18373.41326369674,17293.098606499527,17300.520433091526,11338.239596786176,3.3151344262240015
6,01010001111,339.0,123.0,363.0,600.0,590.0,617.0,748.0,366.0,26690.90381919582,9309.75163828345,14837.488869405592,14411.301333910727,20151.485515022232,14938.401431676019,13024.231191787849,7118.002902956673,3.257707699175289
7,10101100011,332.0,131.0,144.0,432.0,361.0,317.0,280.0,767.0,26139.764212309772,9915.263939960421,5885.945997780731,7404.185612398218,7543.336823805113,9140.276130228885,9377.446458087252,14916.689143627782,3.2371330060360317
8,10011100110,317.0,134.0,96.0,272.0,218.0,170.0,165.0,603.0,24958.75076898252,10142.331053089285,3923.963998520487,3970.6989088570886,4445.1806283137275,5519.6127323819865,5904.318140277158,11727.201504051567,3.1151160864808087
9,01011111100,316.0,135.0,496.0,416.0,742.0,947.0,935.0,248.0,24880.01653942737,10218.020090798907,20273.813992355852,22119.128627574486,25189.35689377779,18786.938749667126,9030.133626306242,4823.127650090861,3.255457597222843
10,01000011110,310.0,134.0,356.0,260.0,530.0,829.0,556.0,158.0,24407.611162096473,10142.331053089285,14551.366494513473,19362.996443779568,14978.91169298444,13419.24196404795,5643.833516441401,3072.7990673965965,3.162091126035482
11,01100111111,304.0,204.0,362.0,305.0,499.0,639.0,739.0,127.0,23935.205784765574,15440.563692762793,14796.614244421004,14925.156486821645,19909.02111711421,12634.342905773447,6620.65085582549,2469.908111135239,3.1454161908575387
12,01000101101,302.0,229.0,234.0,405.0,609.0,386.0,555.0,341.0,23777.737325655275,17332.78963550333,9564.662246393687,9015.822228346095,14951.971204327992,15419.468596424907,8791.356054456797,6631.800518874933,3.186431299639977
13,11101111101,292.0,221.0,224.0,331.0,419.0,334.0,383.0,175.0,22990.395030103773,16727.277333826358,9155.915996547803,7801.255503283926,10318.207155419137,10608.79694893602,7185.03420746963,3403.4166885721797,3.0803700651230406
14,00111110011,287.0,198.0,347.0,224.0,363.0,506.0,489.0,88.0,22596.723882328024,14986.429466505064,14183.494869652177,11818.668516951098,13173.898953002501,9190.914779149822,4862.37964493413,1711.4323919677247,3.0615184962864794
15,00000100100,284.0,188.0,202.0,498.0,346.0,342.0,386.0,818.0,22360.521193662575,14229.539089408849,8256.674246886858,7988.11192252426,10399.028621388477,8760.486263321869,10810.111889183914,15908.54200715453,3.268473803704132
16,01010011110,278.0,128.0,324.0,246.0,313.0,758.0,612.0,127.0,21888.115816331676,9688.196826831556,13243.378495006644,17704.645723021607,16487.57905774546,7924.94855612643,5339.934788633018,2469.908111135239,3.1448388845862376
17,00000001111,276.0,76.0,272.0,404.0,331.0,264.0,322.0,637.0,21730.647357221376,5752.366865931237,11117.897995808047,6166.261834931008,8674.83734737588,8380.69639641485,8769.649002470485,12388.436746402735,3.2605065188454287
18,11010000110,269.0,100.0,213.0,232.0,196.0,249.0,225.0,190.0,21179.507750335328,7568.903770962153,8706.29512171733,5815.906048855382,6061.609947700537,4962.587594251694,5036.036060824635,3695.1381190212237,3.0312067947358634
19,11111111100,267.0,142.0,393.0,345.0,510.0,538.0,665.0,164.0,21022.039291225028,10747.843354766257,16063.727618943245,12566.094193912433,17915.424956537146,12912.855474838592,7488.932935278013,3189.487639576214,3.1929701676896936
20,10010100111,263.0,192.0,229.0,598.0,434.0,281.0,451.0,831.0,20707.10237300443,14532.295240247335,9360.289121470745,6563.331725816717,12150.160384057523,10988.586815843037,12980.817087815223,16161.367246877036,3.313150338599554
21,01000100100,257.0,252.0,244.0,485.0,385.0,354.0,460.0,516.0,20234.696995673527,19073.637502824626,9973.408496239572,8268.396551384762,12392.624781965544,9747.939917280113,10527.920213361844,10035.217207447113,3.2037696678689382
22,10010100001,255.0,155.0,150.0,344.0,410.0,274.0,437.0,537.0,20077.228536563227,11731.800844991338,6131.193747688261,6399.832358981425,11772.993542867267,10380.923028791809,7467.2258832917,10443.627210075774,3.2459441761431536
23,10010000111,254.0,133.0,191.0,432.0,423.0,386.0,543.0,912.0,19998.494307008077,10066.642015379664,7807.053372056386,9015.822228346095,14628.685340450631,10710.074246777891,9377.446458087252,17736.662971301874,3.360068420758487
24,00010111101,254.0,113.0,208.0,379.0,444.0,387.0,643.0,195.0,19998.494307008077,8552.861261187234,8501.921996794388,9039.179280751137,17322.734206095316,11241.780060447716,8226.972702812658,3792.3785958375715,3.2320939307032206
25,00011010100,252.0,153.0,178.0,263.0,229.0,306.0,275.0,306.0,19841.025847897778,11580.422769572095,7275.683247256737,7147.258035942759,7408.63438052288,5798.125301447132,5708.95467240034,5951.117181160497,3.098608417042111
26,11111111110,249.0,59.0,191.0,198.0,289.0,363.0,355.0,70.0,19604.823159232328,4465.65322486767,7807.053372056386,8478.610023030136,9563.873473038626,7317.284769075202,4297.99629328999,1361.3666754288718,3.1010802490590827
27,00000000110,248.0,139.0,186.0,379.0,225.0,185.0,260.0,653.0,19526.08892967718,10520.776241637393,7602.680247133444,4321.054694932714,7004.527050676177,5696.8480036052615,8226.972702812658,12699.606272215047,3.2247371469983186
28,11001011110,247.0,146.0,229.0,162.0,368.0,360.0,490.0,180.0,19447.35470012203,11050.599505604743,9360.289121470745,8408.538865815011,13200.839441658949,9317.51140145216,3516.542421782719,3500.6571653885276,3.1219390245761773
29,01001110011,247.0,210.0,276.0,295.0,431.0,619.0,846.0,131.0,19447.35470012203,15894.697919020522,11281.396495746401,14458.015438720811,22791.653403354023,10912.628842461634,6403.580335962359,2547.7004925883175,3.187620006255513
30,11111011100,244.0,226.0,461.0,242.0,301.0,434.0,386.0,118.0,19211.15201145658,17105.722522374468,18843.202117895256,10136.960743788097,10399.028621388477,7621.116662600816,5253.106580687766,2294.8752528658124,3.042601263063026
31,10111011101,242.0,153.0,217.0,377.0,413.0,503.0,532.0,510.0,19053.68355234628,11580.422769572095,8869.793621655685,11748.597359735973,14332.339965229716,10456.881002173213,8183.558598840032,9918.528635267496,3.2708201391804197
32,11111011101,241.0,220.0,267.0,235.0,286.0,289.0,346.0,237.0,18974.94932279113,16651.588296116737,10913.524870885105,6750.188145057051,9321.409075130605,7241.326795693799,5101.157216783574,4609.198601094895,3.064333053693182
33,10000001100,241.0,65.0,205.0,567.0,466.0,475.0,669.0,650.0,18974.94932279113,4919.7874511253995,8379.298121840624,11094.599892394806,18023.18691116293,11798.805198578008,12307.898476239518,12641.261986125239,3.4016382185588694
34,00000100000,240.0,162.0,226.0,286.0,284.0,176.0,279.0,233.0,18896.21509323598,12261.62410895869,9237.665246516981,4110.841223287339,7516.396335148666,7190.688146772863,6208.216868085541,4531.406219641816,3.0833377804067843
35,00111111000,239.0,106.0,155.0,140.0,199.0,322.0,393.0,84.0,18817.48086368083,8023.0379972198825,6335.5668726112035,7520.970874423427,10587.612041983606,5038.545567633098,3038.9872780838314,1633.6400105146463,3.047294812667494
36,01011001011,237.0,72.0,315.0,375.0,402.0,517.0,603.0,228.0,18660.01240457053,5449.61071509275,12875.50687014535,12075.596093406557,16245.114659837442,10178.368433108066,8140.144494867405,4434.165742825468,3.2543980354920508
37,10100011110,235.0,87.0,230.0,242.0,428.0,423.0,484.0,297.0,18502.54394546023,6584.946280737074,9401.163746455333,9880.033167332638,13039.196509720268,10836.67086908023,5253.106580687766,5776.084322891071,3.2332544995280617
38,01111111001,235.0,96.0,105.0,318.0,311.0,409.0,444.0,95.0,18502.54394546023,7266.147620123667,4291.835623381783,9553.034433662055,11961.576963462394,7874.309907205495,6902.84253164756,1847.5690595106119,3.176348012633182
39,00000001101,233.0,151.0,321.0,453.0,463.0,336.0,509.0,559.0,18345.07548634993,11429.044694152852,13120.75462005288,7847.96960809401,13712.70872613144,11722.847225196603,9833.294549799826,10871.485308067706,3.283820314533431
40,00010010111,232.0,285.0,177.0,338.0,387.0,277.0,380.0,417.0,18266.34125679478,21571.37574724214,7234.808622272149,6469.90351619655,10237.385689449797,9798.57856620105,7336.983571373821,8109.8557664834225,3.1471495447202447
41,01001001100,231.0,285.0,487.0,373.0,305.0,456.0,561.0,406.0,18187.607027239632,21571.37574724214,19905.942367494554,10650.815896699014,15113.614136266673,7722.393960442688,8096.73039089478,7895.926717487457,3.145848759845016
42,00010011010,231.0,388.0,385.0,236.0,214.0,596.0,376.0,79.0,18187.607027239632,29367.346631333156,15736.730619066537,13920.803233404851,10129.62373482401,5418.335434540115,5122.8642687698875,1536.3995336982982,2.9803677445243295
43,11011111010,230.0,101.0,180.0,246.0,407.0,484.0,535.0,57.0,18108.87279768448,7644.592808671775,7357.432497225914,11304.813364040181,14413.161431199056,10304.965055410406,5339.934788633018,1108.541435706367,3.183311303039329
44,11011000010,230.0,117.0,223.0,218.0,239.0,347.0,301.0,204.0,18108.87279768448,8855.61741202572,9115.041371563215,8104.897184549469,8109.087085590497,6051.318546051811,4732.137333016251,3967.411454106998,3.101891895225366
45,00111011100,230.0,93.0,283.0,346.0,394.0,513.0,490.0,192.0,18108.87279768448,7039.080506994803,11567.51887063852,11982.167883786391,13200.839441658949,9975.813837424324,7510.639987264326,3734.0343097477626,3.221583912196448
46,11001011010,229.0,174.0,213.0,117.0,276.0,296.0,315.0,69.0,18030.13856812933,13169.892561474147,8706.29512171733,6913.687511892343,8486.253926780753,6988.13355108912,2539.7250823986305,1341.9185800656023,3.0013523958106343
47,01011110011,229.0,188.0,359.0,489.0,730.0,1089.0,1079.0,146.0,18030.13856812933,14229.539089408849,14673.990369467238,25435.830069090407,29068.787260306133,18483.106856141512,10614.748421307097,2839.4219230373615,3.3073193923081665
48,01000001100,228.0,78.0,255.0,408.0,379.0,587.0,685.0,201.0,17951.40433857418,5903.74494135048,10423.029371070044,13710.589761759476,18454.23472966608,9596.023970517306,8856.477210415736,3909.067168017189,3.2780794497681978
