,variant,correct_counts_6261_y_F_4,correct_counts_6261_y_F_5,correct_counts_6261_y_F_7,correct_counts_6261_y_F_6,correct_counts_6261_y_F_2,correct_counts_6261_y_F_3,correct_counts_6261_y_F_1,correct_counts_6261_y_F_8,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
0,01010111111,671.0,770.0,389.0,486.0,356.0,482.0,607.0,76.0,28136.283244036495,20578.511604117382,24365.26929971968,25494.696044161647,24104.08288644765,12502.651972036096,8650.1042390549,2476.757417070501,3.163355019754315
1,01010100101,670.0,419.0,726.0,461.0,276.0,463.0,538.0,395.0,24937.92485221027,15954.126973978646,23404.812626079278,25456.70096808987,13116.377570677358,11859.511438495145,16143.89634332611,12872.620786090105,3.2793344418282335
2,01011110011,669.0,695.0,466.0,547.0,365.0,625.0,713.0,89.0,33049.703382204316,21098.75487500799,31593.96952764481,25418.705892018093,21756.28260530015,14071.914873876018,10362.335669407668,2900.413291043087,3.1395626773711887
3,01010110011,657.0,657.0,261.0,520.0,297.0,483.0,595.0,35.0,27580.047001979758,17168.027939390064,24415.81965096391,24962.764979156786,20566.730462852087,13377.32309765179,5803.797445741205,1140.611968387731,3.141134808567119
4,01011111101,628.0,620.0,474.0,406.0,416.0,603.0,620.0,206.0,28738.872506264623,24046.800076721436,30481.861800271712,23860.907773075283,19408.482324152654,10444.602264705052,10540.229843989775,6713.316156796359,3.152903107049121
5,01010100011,577.0,655.0,545.0,429.0,232.0,373.0,452.0,250.0,20951.565117470338,13410.71542740234,18855.281014098422,21923.15889341471,20504.12245535482,11036.291555562728,12119.040643405964,8147.228345626649,3.2869151234238756
6,01000011111,577.0,606.0,401.0,468.0,186.0,286.0,354.0,101.0,16408.96914067367,10751.694265072565,14457.400455850266,21923.15889341471,18970.226271671785,12039.590787886611,8916.945500928057,3291.480251633166,3.2889332876274757
7,01010100111,574.0,501.0,774.0,510.0,475.0,739.0,713.0,534.0,33049.703382204316,27457.283741448755,37356.709569487226,21809.17366519938,15683.305878065288,13120.06688423541,17211.261390818745,17402.479746258523,3.209484913968514
8,01110111111,566.0,598.0,234.0,372.0,273.0,406.0,431.0,33.0,19978.151693871052,15780.712550348444,20523.44260515807,21505.213056625176,18719.79424168272,9569.931139089358,5203.4046065265975,1075.4341416227178,3.15723452320206
9,01001111101,530.0,375.0,401.0,425.0,293.0,466.0,463.0,145.0,21461.448339355677,16936.808707883127,23556.46367981197,20137.39031804124,11739.001405737492,10933.389070196175,8916.945500928057,4725.392440463456,3.1724090014141244
10,01000100111,530.0,347.0,629.0,414.0,379.0,616.0,679.0,371.0,31473.7006963769,21908.022185282272,31139.016366446725,20137.39031804124,10862.489300775758,10650.407235438157,13986.929476518077,12090.486864909948,3.169299337151902
11,01011100011,526.0,482.0,533.0,436.0,247.0,410.0,401.0,267.0,18587.561088729217,14277.787545553354,20725.644010134994,19985.41001375414,15088.529806841256,11216.370904954194,11852.199381532806,8701.239873129261,3.278437239047306
12,01111011011,525.0,562.0,362.0,440.0,159.0,211.0,238.0,81.0,11032.018800791904,9190.964452400742,10666.124112532889,19947.414937682363,17592.85010673192,11319.273390320746,8049.711399840292,2639.701983983034,3.339884868132875
13,01010111101,518.0,551.0,640.0,567.0,365.0,506.0,556.0,120.0,25772.279215295373,21098.75487500799,25578.47772958124,19681.44940517993,17248.506065496953,14586.42730070878,14231.533966568471,3910.6696059007913,3.1910191637551693
14,01011111011,517.0,657.0,213.0,389.0,254.0,380.0,469.0,35.0,21739.566460384045,14682.421200690493,19209.133472808044,19643.454329108154,20566.730462852087,10007.266701897204,4736.432398248569,1140.611968387731,3.156670229446512
15,01110111110,515.0,532.0,228.0,546.0,213.0,315.0,443.0,41.0,20534.38793592779,12312.42407774439,15923.360641932984,19567.464176964604,16653.729994272922,14046.18925253438,5069.983975590018,1336.1454486827704,3.195253262228206
