,variant,correct_counts_6261_z_F_7,correct_counts_6261_z_F_6,correct_counts_6261_z_F_4,correct_counts_6261_z_F_5,correct_counts_6261_z_F_1,correct_counts_6261_z_F_2,correct_counts_6261_z_F_3,correct_counts_6261_z_F_8,mean_bin1__F_,mean_bin2__F_,mean_bin3__F_,mean_bin4__F_,mean_bin5__F_,mean_bin6__F_,mean_bin7__F_,mean_bin8__F_,meanbin__F_
0,01010100111,532.0,184.0,406.0,435.0,227.0,254.0,183.0,642.0,13842.641156608404,19685.33499064151,11312.20687138314,16877.084687396662,11056.153312873763,12752.80260097717,29966.90143670092,19606.210276609076,3.422117263766574
1,01011111101,399.0,175.0,461.0,597.0,230.0,277.0,229.0,252.0,14025.583550748603,21467.865324439754,14155.712423752671,19163.389263275523,15173.617305254336,12129.024212885895,22475.176077525688,7695.8956225942175,3.2932777151534474
2,01000100101,374.0,203.0,352.0,448.0,147.0,115.0,115.0,721.0,8964.177312869759,8912.651668991233,7108.763880923831,14632.349285624694,11386.567090040106,14069.668086947639,21066.95702504914,22018.812475755676,3.5539860822406957
3,01001100011,358.0,196.0,344.0,447.0,158.0,86.0,181.0,507.0,9634.966091383823,6665.113422028227,11188.57619519316,14299.795892769587,11361.150645642694,13584.507118432202,20165.696831464153,15483.409050219318,3.4942677666776767
4,01001111101,340.0,167.0,430.0,436.0,157.0,168.0,210.0,166.0,9573.98529333709,13020.22156861328,12981.220999947865,17874.744865961984,11081.569757271174,11574.55453458254,19151.779113681037,5069.518545042222,3.3364874801305446
5,01011100010,322.0,194.0,528.0,570.0,208.0,88.0,177.0,350.0,12684.005993720475,6820.116059749814,10941.3148428132,21948.52392843704,14487.373306524241,13445.889698856363,18137.861395897922,10688.743920269746,3.4168974585898604
6,01010100110,320.0,130.0,257.0,332.0,260.0,188.0,136.0,481.0,15855.007492150595,14570.247945829147,8406.885980918618,10683.277745470301,8438.259539940436,9010.132272429522,18025.2038716998,14689.388073284994,3.341286838721088
7,01100100111,319.0,113.0,287.0,322.0,162.0,171.0,165.0,644.0,9878.889283570756,13252.725525195661,10199.530785673323,11930.352968676953,8184.095095966326,7831.8842060348925,17968.875109600736,19667.288813296334,3.4391358616454437
8,01011100111,314.0,99.0,190.0,253.0,116.0,148.0,131.0,451.0,7073.772573421034,11470.195191397414,8097.809290443668,7898.143080308783,6430.3604325449705,6861.562269004021,17687.231299105428,13773.210022976158,3.4482302075004485
9,01010111111,285.0,166.0,678.0,807.0,188.0,185.0,268.0,67.0,11464.390032785814,14337.743989246768,16566.510609457277,28183.90004447029,20511.070628710637,11505.24582479462,16053.697198232634,2046.1309790230657,3.2848159712199654
10,11010100111,282.0,114.0,191.0,223.0,209.0,209.0,187.0,371.0,12744.986791767209,16197.775641905808,11559.468223763099,7939.712254415672,5667.867100622642,7901.192915822811,15884.710911935448,11330.06855548593,3.2823260834786048
11,11111111111,281.0,133.0,322.0,416.0,290.0,172.0,216.0,94.0,17684.431433552585,13330.226844056455,13352.113028517804,13385.274062418044,10573.240869322955,9218.05840179328,15828.382149836387,2870.6912243010174,3.1951530369839887
12,01001111111,280.0,133.0,381.0,404.0,174.0,174.0,133.0,256.0,10610.65886013155,13485.22948177804,8221.439966633649,15837.855334724456,10268.243536554024,9218.05840179328,15772.053387737325,7818.052695968729,3.3344838925346822
13,01000100110,277.0,160.0,254.0,356.0,190.0,178.0,98.0,467.0,11586.35162887928,13795.234757221215,6057.903133309003,10558.570223149636,9048.254205478299,11089.393566067103,15603.06710144014,14261.838316474204,3.3963666176401324
14,01110100101,276.0,152.0,306.0,366.0,103.0,142.0,113.0,431.0,6281.0221988135045,11005.187278232654,6985.133204733851,12720.16727670783,9302.418649452407,10534.923887763749,15546.738339341078,13162.424656103602,3.4675293831448943
15,01011110011,274.0,252.0,898.0,877.0,248.0,218.0,382.0,113.0,15123.237915589798,16895.287511652947,23613.459152286116,37329.11834798572,22290.221736529402,17465.794866555687,15434.080815142954,3450.9373228299464,3.2655275445845433
16,01000101101,274.0,161.0,301.0,325.0,253.0,116.0,215.0,289.0,15428.141905823462,8990.152987852027,13290.297690422814,12512.321406173389,8260.344429158558,11158.702275855023,15434.080815142954,8825.848551308447,3.3049204294376
17,01010100101,273.0,201.0,364.0,448.0,200.0,151.0,151.0,535.0,12196.15960934661,11702.699147979794,9334.116052343465,15131.179374907353,11386.567090040106,13931.0506673718,15377.752053043892,16338.508563840898,3.41876575502286
