,variant,correct_counts_6261_b_10_2,correct_counts_6261_b_95_2,correct_counts_6261_b_95_3,correct_counts_6261_b_12_1,correct_counts_6261_b_10_3,correct_counts_6261_b_10_1,correct_counts_6261_b_12_3,correct_counts_6261_b_75_4,correct_counts_6261_b_95_1,correct_counts_6261_b_0_4,correct_counts_6261_b_12_2,correct_counts_6261_b_10_4,correct_counts_6261_b_95_4,correct_counts_6261_b_75_1,correct_counts_6261_b_0_1,correct_counts_6261_b_0_3,correct_counts_6261_b_75_2,correct_counts_6261_b_75_3,correct_counts_6261_b_0_2,correct_counts_6261_b_12_4,correct_counts_6261_b_105_2,correct_counts_6261_b_11_1,correct_counts_6261_b_7_3,correct_counts_6261_b_7_2,correct_counts_6261_b_105_3,correct_counts_6261_b_105_1,correct_counts_6261_b_11_2,correct_counts_6261_b_7_1,correct_counts_6261_b_11_3,correct_counts_6261_b_105_4,correct_counts_6261_b_7_4,correct_counts_6261_b_11_4,correct_counts_6261_b_9_4,correct_counts_6261_b_85_1,correct_counts_6261_b_85_3,correct_counts_6261_b_85_2,correct_counts_6261_b_9_3,correct_counts_6261_b_9_2,correct_counts_6261_b_9_1,correct_counts_6261_b_85_4,correct_counts_6261_b_115_1,correct_counts_6261_b_115_3,correct_counts_6261_b_8_4,correct_counts_6261_b_115_2,correct_counts_6261_b_8_1,correct_counts_6261_b_8_3,correct_counts_6261_b_8_2,correct_counts_6261_b_115_4,mean_bin1__7_,mean_bin2__7_,mean_bin3__7_,mean_bin4__7_,meanbin__7_,mean_bin1__75_,mean_bin2__75_,mean_bin3__75_,mean_bin4__75_,meanbin__75_,mean_bin1__8_,mean_bin2__8_,mean_bin3__8_,mean_bin4__8_,meanbin__8_,mean_bin1__85_,mean_bin2__85_,mean_bin3__85_,mean_bin4__85_,meanbin__85_,mean_bin1__9_,mean_bin2__9_,mean_bin3__9_,mean_bin4__9_,meanbin__9_,mean_bin1__95_,mean_bin2__95_,mean_bin3__95_,mean_bin4__95_,meanbin__95_,mean_bin1__10_,mean_bin2__10_,mean_bin3__10_,mean_bin4__10_,meanbin__10_,mean_bin1__105_,mean_bin2__105_,mean_bin3__105_,mean_bin4__105_,meanbin__105_,mean_bin1__11_,mean_bin2__11_,mean_bin3__11_,mean_bin4__11_,meanbin__11_,mean_bin1__115_,mean_bin2__115_,mean_bin3__115_,mean_bin4__115_,meanbin__115_,mean_bin1__12_,mean_bin2__12_,mean_bin3__12_,mean_bin4__12_,meanbin__12_,mean_bin1__0_,mean_bin2__0_,mean_bin3__0_,mean_bin4__0_,meanbin__0_
0,01010100011,1389.0,1604.0,97.0,3481.0,697.0,1807.0,74.0,636.0,455.0,99.0,78.0,472.0,259.0,143.0,3547.0,473.0,1194.0,2086.0,116.0,11.0,937.0,3774.0,1481.0,2335.0,265.0,2585.0,306.0,103.0,123.0,66.0,840.0,3.0,189.0,237.0,1379.0,1052.0,5.0,1533.0,311.0,228.0,380.0,25.0,555.0,55.0,241.0,1450.0,2699.0,41.0,5581.9884355270415,83204.25506581408,54043.94794031004,36893.577065904225,3.6794233372143865,6433.269368216845,70237.53448434411,92409.60743780319,25892.631442859747,3.682520481868465,11563.360174947373,101853.96386546966,62072.089641501996,22179.16555792286,3.5245783288481856,6344.323910250074,79411.63213713159,99570.22486164734,7659.583435553586,3.622100847270089,9842.835321704486,51667.391304347824,43987.228003784294,5341.851635514019,3.4610188316370727,18479.496541474782,46252.959356772706,19399.360305997954,8493.440766670808,3.1981203377479237,66424.10152005269,34705.65332808967,22485.58041328137,13745.755704770525,2.8829641156786834,64011.473821570995,25610.59578927818,8773.598568869025,3146.8237078864754,2.633545864421894,75759.33885270313,6461.24043521777,2342.1735043096164,201.43552888386262,2.4931243297795525,38777.153288177935,1100.6466643441909,523.6739728627005,1201.6534147754198,2.4849744460221377,43343.038323972236,515.631005765535,459.6500570559148,57.63744534441975,2.4369302107648023,127337.72122587453,429.7231962018424,419.45114957286904,112.9102096627165,2.397667207748772
1,01010100101,1310.0,1518.0,205.0,3575.0,963.0,1489.0,8.0,1346.0,413.0,90.0,73.0,454.0,344.0,182.0,3883.0,778.0,1016.0,1720.0,91.0,3.0,1562.0,3365.0,1246.0,1582.0,448.0,2301.0,442.0,117.0,95.0,112.0,1224.0,11.0,497.0,198.0,1228.0,711.0,6.0,1149.0,250.0,766.0,454.0,57.0,1127.0,53.0,249.0,1431.0,1949.0,107.0,6340.7053102588725,56372.219063862045,45468.43965808664,53759.212296031874,3.8032496906112967,8187.79737773053,59766.61225803485,76195.84122388375,54797.92755045474,3.7750455802081895,11947.206155858488,73550.71343971854,61258.7312255099,45037.69294374606,3.662373541064521,5300.321241474746,53670.789400665926,88667.32134162649,25733.51277032477,3.742804598855716,7912.247043170809,38725.26588956011,52784.67360454115,14047.09133783316,3.6070263239676628,16773.696860723263,43773.0625334046,40998.64806937712,11280.863412103314,3.3304921213667202,54734.63595094547,32731.753678759873,31066.877959813424,13221.553156707243,2.9529167683069373,56978.8786318897,42693.43716419693,14832.347769257822,5340.06447398917,2.7140055300741963,67549.06604116218,9332.902850870112,1808.9957960114923,738.5969392408296,2.5089320201717724,46328.49366534942,1060.6231492771294,1193.976658126957,3136.0223263651205,2.5056470741949632,44513.46222585485,482.5777361651801,49.6918980600989,15.719303275750843,2.4327259051184194,139400.16112773353,337.11043839972126,689.9217639908925,102.64564514792409,2.3978728634862265
2,10000100101,1174.0,1091.0,121.0,2343.0,371.0,526.0,4.0,514.0,387.0,161.0,26.0,203.0,184.0,65.0,1779.0,118.0,272.0,462.0,22.0,24.0,816.0,1699.0,582.0,411.0,103.0,1946.0,122.0,38.0,76.0,27.0,482.0,8.0,470.0,194.0,233.0,159.0,12.0,670.0,227.0,539.0,414.0,5.0,586.0,3.0,88.0,471.0,378.0,18.0,2059.3743742721126,14645.37423214115,21238.067320229875,21169.885887816472,3.891860745155472,2924.2133491894747,16000.510368292795,20466.55735199668,20925.805914512435,3.820417604474416,4222.3057900222775,14264.838214578558,20162.7270490672,23418.001832329363,3.8209355331605033,5193.244044677276,12002.328431372549,16823.68556400568,18107.523998962206,3.7807896316636977,7184.320315199095,22581.31257267648,105569.3472090823,13283.969675616872,3.753401727892347,15717.725629781848,31460.086445286175,24199.202031193327,6033.95019717154,3.242192643595298,19335.405312422645,29333.64795333137,11968.651841215764,5911.839847602578,2.990837852673086,48188.13464478807,22303.35769909391,3410.1156701641867,1287.3369714081034,2.6115755576934747,34105.75429537431,2576.050108158719,1447.196636809194,537.1614103569669,2.502480554917436,42246.688056067534,60.03527260059223,104.7347945725401,527.5551577062819,2.46453067851682,29173.438320329486,171.87700192184496,24.84594903004945,125.75442620600674,2.4335892657500597,63866.3112660927,81.49922686586667,104.64109016828446,183.6216540979531,2.397550772816742
3,01110100101,1172.0,1203.0,120.0,3164.0,760.0,1179.0,13.0,882.0,265.0,115.0,65.0,409.0,216.0,127.0,3460.0,10.0,892.0,1307.0,109.0,5.0,1245.0,2747.0,1029.0,1263.0,354.0,1747.0,408.0,83.0,114.0,71.0,875.0,8.0,412.0,180.0,988.0,675.0,5.0,1037.0,195.0,562.0,393.0,13.0,650.0,11.0,133.0,1175.0,1559.0,5.0,4498.10718591014,45005.128114827916,37549.77881875694,38430.809443650236,3.789604373611923,5713.463005339436,52472.26194307784,57899.97934861398,35907.70586887153,3.731376889487647,6381.439432647306,58833.02321832797,50299.79677845852,25975.59930207182,3.6429486724379276,4818.473855886133,50953.281076581574,71338.20316410992,18880.201275355772,3.7036167597915752,6171.552693673231,34950.47931024703,43987.228003784294,11644.671290115215,3.600291883851906,10762.783699979818,34689.719517579535,23999.20862597685,7083.332840157895,3.2991668912847074,43339.24498735038,29283.67581031036,24517.992990091592,11911.046786549035,2.9654928156231293,43260.36548018744,34029.020018838135,11720.203371243904,3385.2194433324203,2.713380934019178,55143.32374890713,8614.987246957027,2170.7949552137907,537.1614103569669,2.5164652166039323,40103.740111194544,220.1293328688382,272.31046588860426,146.54309936285608,2.462015597752918,39395.970484644684,429.69250480461244,80.7493343476607,26.19883879291807,2.4332656653316684,124214.41089414319,403.7916240172485,8.867888997312242,131.15832435568078,2.3965206706886866
4,01010011101,1168.0,1154.0,139.0,2463.0,803.0,649.0,21.0,388.0,212.0,96.0,48.0,444.0,316.0,71.0,2443.0,8.0,795.0,1001.0,68.0,14.0,1041.0,1902.0,1309.0,1351.0,480.0,1352.0,223.0,19.0,124.0,81.0,337.0,15.0,273.0,117.0,608.0,611.0,4.0,1015.0,112.0,259.0,477.0,27.0,424.0,47.0,36.0,1008.0,1373.0,37.0,1029.6871871360563,48140.87734214767,47767.40570821461,14801.351751440148,3.7030351433143784,3194.1407352685032,46766.19758379696,44344.207595992804,15796.133647530787,3.6470644621635473,1727.3069141000224,51813.81711274169,43150.80438526484,16944.08323704377,3.6435848113785734,3132.008006325986,46122.15516709829,43900.43271637533,8701.018025475347,3.6160241742124324,3544.6866753405225,34209.00337502482,35189.782403027435,7716.007917964694,3.574668510794498,8610.226959983855,33276.75504845119,27799.083325089854,10362.653599490253,3.3783529756507433,23856.802372171667,29183.731524268343,25905.1952250573,12930.329518894308,3.0933927970651824,33479.11512834197,28453.18059406466,15891.801181347666,3862.0109142243105,2.759805034392074,38180.779676163584,4708.681755077003,2361.2155653202635,1007.1776444193131,2.5253979133247837,48675.53189068651,940.5526040759449,565.5678906917165,1084.4189352851351,2.477565171832067,30667.596492945595,317.3113881634061,130.4412324077596,73.35674862017059,2.434929480247933,87703.99011976641,251.9067012217697,7.094311197849794,109.4886881577857,2.396513696450937
5,01000000111,1165.0,1395.0,159.0,3078.0,854.0,1040.0,30.0,759.0,312.0,58.0,64.0,373.0,271.0,35.0,2978.0,10.0,702.0,1284.0,69.0,65.0,1077.0,2482.0,1096.0,1175.0,458.0,1490.0,263.0,6.0,144.0,92.0,681.0,6.0,313.0,50.0,825.0,622.0,3.0,1058.0,132.0,397.0,381.0,16.0,544.0,47.0,56.0,1293.0,1360.0,9.0,325.1643748850704,41869.37888750815,39994.71096730574,29910.149978429497,3.810738713308168,1574.5764187943325,41295.4348475792,56881.08147178298,30900.16865586564,3.788995265028942,2686.921866377813,51323.22743869534,55351.18062514626,21739.578492810877,3.6875697657289406,1338.46495996837,46952.504932790725,59568.84373521324,13337.081683836728,3.7011612491725776,4177.666438794187,35658.251793868236,26392.336802270576,8846.55852865549,3.532406323809824,12671.654771296993,40226.233355796714,31798.95142941933,8886.959257790693,3.320436629843629,38229.69871657709,29108.773309736833,27550.481596760816,10862.64169042247,2.9960965511257815,36896.362086708235,29437.15225725998,15163.426960535899,4386.48153220539,2.749360203286456,49823.70933556153,5553.288347915926,2742.056785533209,402.87105776772523,2.5109684230234435,38879.19842840998,940.5526040759449,335.15134263212826,263.77757885314094,2.4693902520985924,38325.15712760314,423.0818508845415,186.34461772537085,340.5849043079349,2.439304140642435,106910.55365397641,255.61121153385457,8.867888997312242,66.14941576199553,2.3959666797635077
6,10000100110,1103.0,1075.0,186.0,1986.0,548.0,340.0,6.0,573.0,355.0,52.0,18.0,207.0,214.0,23.0,1841.0,37.0,206.0,316.0,17.0,5.0,1114.0,1114.0,533.0,197.0,305.0,1439.0,183.0,8.0,122.0,51.0,545.0,16.0,912.0,101.0,214.0,110.0,3.0,454.0,162.0,850.0,362.0,14.0,638.0,20.0,24.0,477.0,269.0,17.0,433.5524998467605,7019.8022475226435,19449.982614574783,23936.90416775929,4.056776603400501,1034.7216466362756,12118.03358775116,13998.770829504223,23327.79530936892,3.928550082242003,1151.5379427333482,10151.432486036065,20419.577075169967,25496.049776495107,3.955217558300911,2703.6992191361073,8303.497656924405,15451.79704161895,28555.464562370827,3.9838811753525247,5127.136083974684,15301.36702685839,26392.336802270576,25776.553923750187,3.7954555908833925,14418.068730161642,30998.710292101412,37198.77337026412,7017.7464249712475,3.3305863799630435,12498.170734265588,27559.636876085602,17678.763366539726,6028.329302727751,3.0909764287051846,35633.466471659834,30448.45646665517,10097.91533398133,2431.63650154864,2.716786849635462,22362.454552705698,3864.0751622380785,2323.131443298969,1074.3228207139339,2.5570625754602876,36940.340764001085,400.23515067061487,293.25742480311226,498.2465378337107,2.4694013331801954,24728.31775679657,118.99177056127729,37.26892354507417,26.19883879291807,2.43147201562642,66092.11862893573,62.97667530544243,32.811189290055296,59.30637275213392,2.3958050705043834
7,10000100100,1073.0,1415.0,65.0,1955.0,115.0,803.0,2.0,295.0,606.0,117.0,19.0,181.0,86.0,75.0,1773.0,164.0,290.0,437.0,23.0,3.0,428.0,1328.0,659.0,320.0,60.0,2664.0,65.0,44.0,39.0,22.0,345.0,4.0,315.0,225.0,255.0,128.0,3.0,846.0,300.0,422.0,335.0,9.0,373.0,3.0,88.0,559.0,429.0,15.0,2384.538749157183,11402.724462980945,24047.914714830735,15152.719152067808,3.868829547978635,3374.0923259878555,17059.367672076878,19359.059659789065,12009.94697428243,3.701080705067505,4222.3057900222775,16189.459243529634,23929.860765241116,14905.997753342752,3.732634476220286,6023.092319857666,9662.25181896658,18412.188063611364,14176.94828861234,3.7416265828246584,9494.69645180497,28513.120054454183,26392.336802270576,8903.086059190031,3.487542953338762,24612.252536557622,40802.95354727767,12999.571339070795,2820.2158530258284,3.0424579510891494,29517.738528280195,26810.05473077049,3709.959465605965,5271.147844414121,2.83971164923762,65967.7238919401,11698.329773544356,1986.4751476684582,1048.9412359621583,2.531466271826576,26658.294116690453,1372.4857133632518,742.6403794152442,268.58070517848347,2.48766842256726,34185.121977735806,60.03527260059223,188.52263023057216,439.62929808856825,2.4658393180405795,24342.326895537408,125.60242448134825,12.422974515024725,15.719303275750843,2.4309669756557923,63650.9105535595,85.20373717795152,145.43337955592077,133.4393386923013,2.39734005543286
8,01011100011,1062.0,1379.0,167.0,2798.0,778.0,1350.0,22.0,813.0,463.0,82.0,69.0,407.0,283.0,157.0,3156.0,75.0,893.0,1302.0,94.0,6.0,927.0,3185.0,1063.0,1037.0,368.0,2355.0,434.0,133.0,89.0,113.0,930.0,11.0,276.0,269.0,871.0,834.0,5.0,998.0,284.0,455.0,410.0,34.0,608.0,23.0,196.0,1132.0,1637.0,42.0,7207.810309952393,36951.95396284762,38790.490655333946,40846.460322965395,3.809335532969408,7063.099935734578,52531.08734884363,57678.47981017246,33098.599627429205,3.7079480480831912,9404.226532322346,61776.56126260609,48459.038258055356,24297.17596255333,3.598274748288988,7200.941484629831,62955.60950795413,62890.258052570585,15285.57220691615,3.6169826121105446,8988.31264104204,33636.04469780765,43987.228003784294,7800.799213766503,3.542488334942791,18804.41076637983,39764.85720261195,33398.89867115112,9280.477748910576,3.277743894077264,49625.08968017218,26535.20794415495,25098.682297751657,11852.802058986448,2.937209558568098,58316.06222429389,25337.270327279482,12183.714239033212,5387.743621078359,2.6764414418405202,63935.74304341799,9163.981532302329,1694.7434299476085,738.5969392408296,2.510335992733397,41838.50749513935,460.2704232712071,712.1966030932726,1230.9620346479912,2.480992263620343,34838.788058165555,456.1351204848963,136.65271966527197,31.438606551501685,2.4347198849730227,113300.77479246125,348.22396933597577,66.50916747984182,93.52158780144195,2.3965138850178405
9,01000011111,1053.0,1257.0,98.0,2626.0,695.0,861.0,10.0,217.0,222.0,125.0,47.0,400.0,218.0,60.0,2517.0,12.0,739.0,1147.0,125.0,3.0,788.0,2375.0,1118.0,1769.0,399.0,1839.0,200.0,43.0,81.0,77.0,298.0,14.0,222.0,97.0,763.0,773.0,4.0,1344.0,131.0,204.0,420.0,9.0,288.0,35.0,69.0,922.0,1511.0,13.0,2330.344686676338,63035.68617191653,40797.52450862027,13088.435673380309,3.6088730702192757,2699.2738607902843,43471.97486091314,50811.994118485265,8834.435570912838,3.6360254563956853,3310.6715853583764,57021.6151910799,39469.28734445851,11509.188613841052,3.5642899695430152,2596.622022338638,58350.94262547787,55092.15487268812,6853.311494968999,3.602293562578037,4146.0174506215035,45297.438951757,35189.782403027435,6274.555889333927,3.5096558776019577,9016.369741115168,36246.86403457812,19599.35371121443,7148.919255344542,3.2920347900314195,31649.77941824315,26310.333300560418,22421.059379096918,11648.945512517395,3.0177720603134413,45538.53011909829,21538.046405497553,13210.059731995249,3671.2943258675546,2.694131257537562,47675.78955356915,4223.032964194621,1542.4069418624304,940.0324681246922,2.504243292528666,42858.958897459815,700.411513673576,188.52263023057216,381.01205834342585,2.46713400859295,32697.161344082473,310.70073424333515,62.11487257512362,15.719303275750843,2.4326750511143835,90360.59890767584,463.0637890106061,10.64146679677469,142.56339603878345,2.3974879782437655
