,variant,correct_counts_6261_c_105_2,correct_counts_6261_c_10_2,correct_counts_6261_c_0_3,correct_counts_6261_c_95_2,correct_counts_6261_c_95_3,correct_counts_6261_c_0_2,correct_counts_6261_c_12_1,correct_counts_6261_c_10_3,correct_counts_6261_c_105_3,correct_counts_6261_c_10_1,correct_counts_6261_c_105_1,correct_counts_6261_c_12_3,correct_counts_6261_c_75_4,correct_counts_6261_c_95_1,correct_counts_6261_c_0_1,correct_counts_6261_c_12_2,correct_counts_6261_c_10_4,correct_counts_6261_c_105_4,correct_counts_6261_c_95_4,correct_counts_6261_c_75_1,correct_counts_6261_c_0_4,correct_counts_6261_c_75_2,correct_counts_6261_c_75_3,correct_counts_6261_c_12_4,correct_counts_6261_c_11_1,correct_counts_6261_c_11_2,correct_counts_6261_c_11_3,correct_counts_6261_c_7_4,correct_counts_6261_c_7_1,correct_counts_6261_c_7_3,correct_counts_6261_c_11_4,correct_counts_6261_c_7_2,correct_counts_6261_c_9_1,correct_counts_6261_c_115_1,correct_counts_6261_c_85_1,correct_counts_6261_c_85_3,correct_counts_6261_c_115_3,correct_counts_6261_c_9_3,correct_counts_6261_c_9_2,correct_counts_6261_c_115_2,correct_counts_6261_c_85_2,correct_counts_6261_c_9_4,correct_counts_6261_c_115_4,correct_counts_6261_c_85_4,correct_counts_6261_c_8_3,correct_counts_6261_c_8_2,correct_counts_6261_c_8_1,correct_counts_6261_c_8_4,mean_bin1__7_,mean_bin2__7_,mean_bin3__7_,mean_bin4__7_,meanbin__7_,mean_bin1__75_,mean_bin2__75_,mean_bin3__75_,mean_bin4__75_,meanbin__75_,mean_bin1__8_,mean_bin2__8_,mean_bin3__8_,mean_bin4__8_,meanbin__8_,mean_bin1__85_,mean_bin2__85_,mean_bin3__85_,mean_bin4__85_,meanbin__85_,mean_bin1__9_,mean_bin2__9_,mean_bin3__9_,mean_bin4__9_,meanbin__9_,mean_bin1__95_,mean_bin2__95_,mean_bin3__95_,mean_bin4__95_,meanbin__95_,mean_bin1__10_,mean_bin2__10_,mean_bin3__10_,mean_bin4__10_,meanbin__10_,mean_bin1__105_,mean_bin2__105_,mean_bin3__105_,mean_bin4__105_,meanbin__105_,mean_bin1__11_,mean_bin2__11_,mean_bin3__11_,mean_bin4__11_,meanbin__11_,mean_bin1__115_,mean_bin2__115_,mean_bin3__115_,mean_bin4__115_,meanbin__115_,mean_bin1__12_,mean_bin2__12_,mean_bin3__12_,mean_bin4__12_,meanbin__12_,mean_bin1__0_,mean_bin2__0_,mean_bin3__0_,mean_bin4__0_,meanbin__0_
0,10001110001,704.0,20.0,5.0,195.0,480.0,3.0,1907.0,983.0,531.0,142.0,771.0,7.0,1040.0,9.0,2190.0,24.0,235.0,45.0,161.0,10.0,0.0,153.0,546.0,6.0,915.0,112.0,57.0,513.0,1.0,529.0,14.0,131.0,56.0,623.0,45.0,484.0,6.0,565.0,207.0,4.0,151.0,174.0,3.0,338.0,672.0,128.0,19.0,344.0,433.06697698474267,5805.812847299399,20659.04646966109,22992.60182764105,4.015515372251997,725.4254488051996,13893.500311746806,21244.21193129062,27381.334691311855,3.9334753188026594,1644.2104157725078,11764.523214048811,22102.509985699493,28482.834084865302,3.9384733808202936,2584.5650200959417,11439.366488691583,26705.688701686337,22270.372916502314,3.8176558081971614,2771.133816019364,12266.08901142182,23647.115063624224,14938.894835800531,3.724425234807345,2458.7350798325842,16322.161617856844,24270.80656146932,8478.177329164537,3.5072038015251894,10860.687228240844,29993.07808782176,32389.560608285825,6104.688335052788,3.0868430838926852,25552.317357673586,35272.17884856011,17646.70195909397,2350.9938354014967,2.756948724679367,64499.15600314741,7421.054834658853,2059.4937626264914,685.577570788135,2.428328357277972,49638.31112517348,23.1693022227137,15.124328442512052,2.9077312071064494,2.337461728104827,24913.897937478712,5.443013645973477,1.877944856505174,6.652715428494279,2.281857450524612,66198.0878434204,2.5607741326410194,0.806063076752029,0.0,2.2523950489884346
1,10100100111,632.0,15.0,14.0,209.0,393.0,7.0,2512.0,920.0,613.0,191.0,944.0,6.0,1504.0,30.0,2835.0,5.0,264.0,64.0,266.0,31.0,1.0,166.0,418.0,4.0,937.0,92.0,80.0,784.0,6.0,378.0,29.0,248.0,138.0,637.0,72.0,357.0,32.0,476.0,209.0,5.0,156.0,346.0,8.0,559.0,506.0,101.0,44.0,423.0,2598.4018619084563,10991.157146032452,14762.04076660093,35138.79109721361,3.9671699918067977,2248.8188912961186,15073.993802287385,16263.883859486226,39597.62247666637,3.95675080441522,3807.645173367913,9282.94409858539,16642.663768993963,35023.95005202913,3.9528043670491058,4135.304032153507,11818.153458515808,19698.20426963228,36831.770592676905,3.871067035650056,6828.865475190576,12384.601948730244,19922.17127484094,29706.078236706802,3.746819778580984,8195.783599441947,17494.00911862605,19871.722872203005,14007.423413402279,3.427152949958725,14608.389159112683,22494.808565866322,30313.72915526242,6858.032852995472,3.0594193927479574,31285.846414583484,31664.796920866458,20371.80470983918,3343.635677015462,2.7426954023220325,66049.95538245805,6095.866471326915,2890.5175615810404,1420.1249680611368,2.4320816182853955,50753.778790907716,28.961627778392128,80.66308502673094,7.753949885617199,2.3381538117412,32817.887582038034,1.1339611762444743,1.6096670198615777,4.435143618996186,2.2816200316327477,85694.78494798944,5.9751396428290455,2.2569766149056814,0.2931904161412358,2.2524213471614694
2,10001100111,628.0,24.0,10.0,160.0,484.0,4.0,2032.0,656.0,473.0,204.0,891.0,12.0,1168.0,38.0,2444.0,10.0,195.0,80.0,181.0,22.0,0.0,138.0,421.0,3.0,873.0,75.0,47.0,674.0,1.0,346.0,22.0,245.0,134.0,567.0,66.0,273.0,24.0,551.0,195.0,9.0,148.0,265.0,1.0,468.0,584.0,95.0,45.0,412.0,433.06697698474267,10858.199599911091,13512.344193766989,30208.603570818843,3.9999905198878856,1595.935987371439,12531.39243804614,16380.610298669142,30751.34511485793,3.948993941192719,3894.1825636717285,8731.482072926852,19208.13367804837,34113.16175280379,3.9500147589311334,3790.6953628073816,11212.09430679705,15063.332676777625,30835.900961310897,3.8490144985151256,6630.927345474907,11555.01138757128,23061.168849658316,22751.765123489316,3.7089516471085706,10381.325892626466,13392.54286593382,24473.063282814896,9531.367059495535,3.3753676320872508,15602.677426486845,35991.69370538611,21615.006875926247,5065.592448235292,2.9905338416739884,29529.331732408777,31464.386813772366,15719.190257347362,4179.5445962693275,2.73811811734045,61538.53900628162,4969.456362494768,1698.1790674288613,1077.3361826670694,2.4198322269852817,45176.44046223654,52.13093000110583,60.49731377004821,0.9692437357021498,2.3381986804231416,26546.953649164523,2.2679223524889487,3.2193340397231553,3.3263577142471394,2.2816714376862004,73875.85693576232,3.414365510188026,1.612126153504058,0.0,2.252404018996197
3,10111111000,593.0,29.0,321.0,187.0,794.0,1.0,2086.0,955.0,932.0,110.0,559.0,9.0,1513.0,2.0,2650.0,4.0,615.0,112.0,209.0,7.0,97.0,89.0,892.0,28.0,914.0,145.0,122.0,533.0,0.0,685.0,22.0,108.0,26.0,937.0,9.0,563.0,10.0,903.0,259.0,17.0,134.0,298.0,4.0,527.0,972.0,88.0,13.0,321.0,0.0,4786.471660368971,26751.317262226556,23888.999559712825,4.036126962156835,507.7978141636397,8081.840050623959,34706.661250386875,39834.57633457196,4.040889975992251,1124.9860739496105,8088.109709658558,31969.701943601052,26578.458550121402,3.9733672961347106,516.9130040191884,10151.49079128922,31064.675080680594,34723.33292010864,3.942367015603459,1286.5978431518477,15347.425381440828,37793.53080080119,25585.003799244587,3.8168926167986403,546.3855732961298,15652.534474560152,40147.95918709716,11005.832681958933,3.605691044919862,8413.208416242907,43489.963227341555,31466.968851386533,15976.099259818997,3.1470816562166446,18526.258628974752,29710.798376699066,30973.11906944554,5851.362434777058,2.8608007914575655,64428.665122269646,9607.615634156551,4408.039281411086,1077.3361826670694,2.4545250388786917,74656.65734235563,98.46953444653323,25.20721407085342,3.8769749428085993,2.3378249107441627,27252.43371661279,0.9071689409955794,2.4145005297923663,31.0460053329733,2.2826863082598963,80102.70903427585,0.8535913775470065,51.749249527480266,28.439470365699872,2.2530602291290993
4,10011110010,540.0,23.0,9.0,202.0,664.0,4.0,1796.0,879.0,760.0,85.0,605.0,37.0,1544.0,14.0,2180.0,185.0,445.0,144.0,167.0,20.0,536.0,86.0,583.0,18.0,963.0,192.0,61.0,462.0,1.0,481.0,33.0,127.0,66.0,678.0,53.0,500.0,21.0,707.0,172.0,23.0,104.0,321.0,7.0,491.0,692.0,70.0,25.0,390.0,433.06697698474267,5628.536119137586,18784.501610410178,20706.78761085802,4.006990663114072,1450.8508976103992,7809.4184758838255,22683.83801454658,40650.75073402452,4.045553758574474,2163.434757595405,6433.723632682943,22760.32278289293,32291.585154353106,4.005300190592379,3044.0432458907762,7878.768972343872,27588.521386039607,32351.34053846934,3.9036817399179666,3265.9791403085364,10192.11260852441,29590.283805278454,27559.685300528567,3.830569117978094,3824.6990130729087,16908.08536824145,33574.61574336589,8794.134248263837,3.505965814111671,6501.1155943695185,34492.03980099502,28962.79122551703,11559.94174084464,3.1506083507801006,20050.780805956576,27055.364457702355,25257.04988495559,7523.180273284789,2.8460098008991728,67882.71828527973,12721.808287986605,2204.019640705543,1616.004274000604,2.455587947255972,54020.50552627227,133.2234877806038,52.93514954879218,6.784706149915049,2.3386378019156577,23463.744465501713,41.95656352104555,9.926279955813062,19.958146285482837,2.283378606842683,65895.81346970616,3.414365510188026,1.4509135381536522,157.1500630517024,2.254654834805224
5,10101110000,532.0,21.0,3.0,182.0,491.0,72.0,1683.0,557.0,307.0,178.0,828.0,10.0,955.0,16.0,1588.0,15.0,131.0,27.0,67.0,14.0,2.0,119.0,632.0,5.0,784.0,47.0,27.0,332.0,1.0,442.0,3.0,147.0,82.0,520.0,51.0,438.0,5.0,556.0,221.0,23.0,142.0,128.0,2.0,272.0,746.0,116.0,24.0,238.0,433.06697698474267,6514.919759946655,17261.433912268814,14880.202352391478,3.9462589594768485,1015.5956283272794,10806.055798025292,24590.3698545342,25143.43714442579,3.9447354006766444,2076.8973672915886,10661.599162731734,24536.41733531521,19706.146837784716,3.879307908941265,2929.1736894420674,10757.549943007978,24167.544734170693,17921.720216830265,3.779770678620734,4057.731659171212,13095.679572580782,23270.43535464614,10989.531833232575,3.641524637708234,4371.084586369038,15234.01750999972,24827.012545169655,3528.1855966088447,3.4112910892268884,13614.100891738522,31492.731992212848,18352.986021175184,3403.0390293272985,2.9773563292574976,27441.399185672803,26654.54424351417,10202.518835107061,1410.5963012408981,2.6868029890869845,55264.85060816127,3114.1926538300545,975.5496770336011,146.90947945460036,2.398553800177152,41431.65615584303,133.2234877806038,12.60360703542671,1.9384874714042997,2.338587822020865,21987.462102137742,3.401883528733423,2.682778366435963,5.543929523745232,2.281836516298221,48001.17054582266,61.45857918338447,0.48363784605121746,0.5863808322824716,2.2530197098925218
6,01110100101,520.0,18.0,5.0,314.0,401.0,47.0,3039.0,431.0,104.0,366.0,1775.0,69.0,638.0,39.0,2442.0,17.0,73.0,38.0,153.0,63.0,4.0,211.0,651.0,12.0,1023.0,49.0,20.0,639.0,8.0,963.0,11.0,727.0,176.0,704.0,156.0,506.0,2.0,896.0,700.0,4.0,351.0,66.0,168.0,153.0,795.0,257.0,73.0,183.0,3464.5358158779413,32220.045343409645,37608.056238721416,28639.907539693235,3.773072413370097,4570.180327472757,19160.317423389384,25329.637302692663,16797.395704862465,3.7251580870087824,6317.229492178582,23620.95676570738,26148.05868843913,15152.205341657995,3.649492065798213,8959.825402999266,26590.845281660568,27919.58364267208,10080.967621967025,3.490520270290953,8709.27770748943,41479.528057948184,37500.55769381824,5666.477351510546,3.439697451617301,10654.518679274532,26282.86537439512,20276.23631489416,8056.901437032137,3.288402053634396,27993.0389122264,26993.770279039585,14201.323115128373,1896.3499934419297,2.811234813696082,58826.670959624666,26053.313922231897,3456.227878993923,1985.2836832279306,2.5409692401795247,72112.17113794513,3246.711490163248,722.6293903952601,538.6680913335347,2.3940596152013676,56092.088334064414,23.1693022227137,5.041442814170684,162.83294759796118,2.33908640493179,39702.850462505405,3.855467999231213,18.511170728408143,13.305430856988558,2.282076244059953,73815.40206101947,40.118794744709305,0.806063076752029,1.1727616645649432,2.2526592944327772
7,01011110011,517.0,15.0,10.0,224.0,667.0,5.0,2777.0,1128.0,1045.0,115.0,542.0,78.0,1102.0,14.0,2761.0,595.0,686.0,188.0,835.0,26.0,13.0,108.0,1002.0,0.0,880.0,259.0,192.0,1033.0,1.0,1110.0,58.0,311.0,89.0,901.0,65.0,758.0,101.0,909.0,254.0,33.0,230.0,296.0,8.0,507.0,983.0,166.0,52.0,348.0,433.06697698474267,13783.265614581018,43348.849870177335,46298.94286150722,4.005567849768469,1886.106166893519,9807.176690644805,38986.63068709378,29013.683490216983,3.9500845719757,4499.944295798442,15257.116043219552,32331.49898205744,28814.029830038155,3.852876079210448,3733.260584583027,17424.200611914333,41824.19842123604,33405.55937475347,3.818654583916431,4404.123386173633,15051.143038169768,38044.650606786585,25413.29236435033,3.7631118790456104,3824.6990130729087,18749.56001230735,33726.308284375074,43970.671241319185,3.7013076547324184,8795.626980617584,22494.808565866322,37167.26792080001,17820.494458920053,3.2096300780321765,17962.848259220602,25903.00634191133,34728.443591813935,9821.92980123292,2.8965790523797894,62031.97517242592,17161.189305148597,6937.242147794497,2840.2499361222735,2.5085665487854,71788.31191618188,191.14674333738805,254.59286211561954,7.753949885617199,2.339881345433725,36279.96569081195,134.94137997309244,20.92567125820051,0.0,2.2834740025075733,83457.954582504,4.267956887735033,1.612126153504058,3.8114754098360657,2.252448244915767
8,01000100111,516.0,16.0,3.0,229.0,625.0,11.0,2951.0,848.0,672.0,200.0,803.0,9.0,1137.0,26.0,2590.0,8.0,415.0,105.0,816.0,31.0,6.0,144.0,510.0,2.0,901.0,109.0,159.0,1142.0,4.0,676.0,34.0,395.0,147.0,678.0,91.0,469.0,6.0,641.0,272.0,28.0,171.0,262.0,2.0,409.0,579.0,121.0,64.0,329.0,1732.2679079389707,17506.076905979106,26399.840101117006,51184.3105012984,3.987144069654669,2248.8188912961186,13076.235587526406,19843.494661095636,29935.170715405366,3.9212021235314274,5538.3929794442365,11121.150850780517,19043.680478750008,27240.850040467107,3.8417933415695327,5226.564818416238,12954.514367988482,25878.03306010515,26948.469002513157,3.7797956230233423,7274.226267050831,16117.75947394558,26827.965939439164,22494.197971147925,3.6698086473081157,7103.012452849687,19168.07697686778,31602.612710246507,42970.140997504735,3.6510731421146985,15296.742574987104,23994.462470257407,27941.3503518071,10780.619825731519,3.0744502753821727,26612.85452426964,25852.903815137804,22332.549371960733,5485.6522826034925,2.7828973589908097,63512.28367085881,7222.276580159062,5744.903653642318,1664.9741004854707,2.4576013048457614,54020.50552627227,162.1851155589959,15.124328442512052,1.9384874714042997,2.3384823189156307,38553.179241478596,1.8143378819911589,2.4145005297923663,2.217571809498093,2.2815520389881554,78289.06279199035,9.389505153017073,0.48363784605121746,1.759142496847415,2.252453262695717
9,01111100101,501.0,18.0,8.0,297.0,434.0,4.0,2206.0,465.0,229.0,407.0,1242.0,13.0,675.0,47.0,2093.0,18.0,87.0,35.0,203.0,73.0,1.0,126.0,507.0,3.0,793.0,32.0,49.0,608.0,7.0,645.0,8.0,527.0,145.0,511.0,94.0,445.0,11.0,495.0,414.0,42.0,176.0,107.0,5.0,194.0,693.0,141.0,63.0,211.0,3031.468838893199,23356.20893531896,25189.19654618413,27250.491054981983,3.805636007334553,5295.605776277957,11441.706139085605,19726.76822191272,17771.539342918753,3.7636363842502973,5451.85558914042,12959.357602975644,22793.2134227526,17470.57555786796,3.750226099108352,5398.869153089301,13333.301337812707,24553.784033575248,12782.403389945117,3.646554353809956,7175.257202192996,24532.17802284364,20717.383993794676,9186.561766842855,3.470178457689673,12840.06097245905,24859.907694889655,21944.854265995175,10689.875762859634,3.3005179917983076,31128.871140098756,26993.770279039585,15321.613105648941,2260.0335538280533,2.8032798981696447,41162.0987785092,25101.365913534963,7610.347925861619,1828.5507608678308,2.6112476429650475,55899.268536061085,2120.301381331101,1770.4420064683873,391.7586118789343,2.401061109874584,40714.5697992996,243.27767333849386,27.72793547793876,4.846218678510749,2.339935557000102,28820.167199831172,4.082260234480108,3.4876118763667514,3.3263577142471394,2.2816873198992873,63266.026418392205,3.414365510188026,1.2897009228032466,0.2931904161412358,2.252411456462713
