,concen,total_ct,1,2,3,4
0,_7_,2328054.0,536510.0,601282.0,584234.0,606028.0
1,_75_,2293796.0,744703.0,517583.0,539629.0,491881.0
2,_8_,2261455.0,840744.0,505856.0,522059.0,392796.0
3,_85_,2308136.0,873906.0,427778.0,464103.0,542349.0
4,_9_,1884432.0,706206.0,354607.0,474332.0,349287.0
5,_95_,2096800.0,1052029.0,312194.0,401615.0,330962.0
6,_10_,2047557.0,1178432.0,306219.0,288547.0,274359.0
7,_105_,1930111.0,1211803.0,249573.0,180648.0,288087.0
8,_11_,2048825.0,1615884.0,144958.0,142941.0,145042.0
9,_115_,2165288.0,1984372.0,48134.0,69347.0,63435.0
10,_12_,1699764.0,1564548.0,35585.0,48486.0,51145.0
11,_0_,1602501.0,1450243.0,51488.0,63487.0,37283.0
