,concen,total_ct,1,2,3,4
0,_7_,2252361.0,726768.0,615541.0,341431.0,568621.0
1,_75_,2487851.0,641264.0,585779.0,748058.0,512750.0
2,_8_,2359181.0,660031.0,618637.0,557665.0,522848.0
3,_85_,2433861.0,754608.0,657662.0,555729.0,465862.0
4,_9_,2203800.0,902564.0,614997.0,491502.0,194737.0
5,_95_,1649690.0,535041.0,194718.0,500944.0,418987.0
6,_10_,1708746.0,870718.0,353778.0,327549.0,156701.0
7,_105_,2246221.0,1394244.0,254826.0,324597.0,272554.0
8,_11_,1607452.0,1128551.0,197427.0,139230.0,142244.0
9,_115_,663432.0,400603.0,108755.0,78930.0,75144.0
10,_12_,1750782.0,1606427.0,61739.0,48938.0,33678.0
11,_0_,2277979.0,2193392.0,29415.0,21208.0,33964.0
