,concen,total_ct,1,2,3,4
0,_7_,1942768.0,692344.0,454302.0,395562.0,400560.0
1,_75_,1797461.0,611228.0,410800.0,346701.0,428732.0
2,_8_,1697127.0,553670.0,534489.0,258801.0,350167.0
3,_85_,2975103.0,932144.0,380747.0,629126.0,1033086.0
4,_9_,1559588.0,676304.0,218105.0,255286.0,409893.0
5,_95_,969439.0,223292.0,334628.0,223892.0,187627.0
6,_10_,1125251.0,374251.0,282813.0,188030.0,280157.0
7,_105_,3164333.0,2557229.0,154621.0,177199.0,275284.0
8,_11_,1805221.0,1378397.0,144043.0,144449.0,138332.0
9,_115_,1722655.0,1507665.0,70396.0,72372.0,72222.0
10,_12_,691287.0,562987.0,7826.0,39005.0,81469.0
11,_0_,686011.0,639641.0,23769.0,12651.0,9950.0
