variant,repx,repy,repz,h9_mean,h9_sem
00011001100,7.0,7.0,7.0,7.0,0.0
10000001100,7.0,7.0,7.0,7.0,0.0
00001011100,7.0,7.0,7.0,7.0,0.0
00000001101,7.0,7.0,7.0,7.0,0.0
00100001101,7.0,7.0,7.0,7.0,0.0
00010001101,7.0,7.0,7.0,7.0,0.0
01011000000,7.0,,7.0,7.0,0.0
00001001100,7.0,7.0,7.0,7.0,0.0
00100011100,7.0,7.0,7.0,7.0,0.0
00010100100,7.0,,7.0,7.0,0.0
00011011101,7.0,,7.0,7.0,0.0
10001001100,7.0,7.0,7.0,7.0,0.0
10001001101,7.0,7.0,7.0,7.0,0.0
10001001110,7.699447124240915,8.672753607587705,,8.18610036591431,0.2809693800821387
10110001100,7.0,7.0,7.0,7.0,0.0
00011011100,7.0,,7.0,7.0,0.0
00110001111,7.0,7.0,7.0,7.0,0.0
10000001101,7.0,7.0,7.0,7.0,0.0
00111001100,7.0,7.0,7.0,7.0,0.0
00000011101,7.0,7.0,7.0,7.0,0.0
00001100001,7.610874750272242,8.230914102839929,,7.920894426556085,0.17898994355655778
00010011101,7.0,7.0,7.0,7.0,0.0
10001011100,7.841377358941371,8.67066767538914,,8.256022517165256,0.23939549371873461
00000100100,7.180182065400968,,7.0,7.090091032700483,0.0520140819811957
00010001111,7.0,,7.0,7.0,0.0
10000001110,7.414094531496298,,7.0,7.207047265748149,0.11953879461466983
00100001111,7.0,7.0,7.0,7.0,0.0
10111001100,7.0,7.0,7.0,7.0,0.0
00010101100,7.302584940305987,,7.0,7.151292470152994,0.0873487483691943
10010001110,7.571760987748972,8.25081774189556,,7.911289364822266,0.19602679990078306
00101001101,7.0,7.0,7.0,7.0,0.0
10101001100,7.0,7.0,7.0,7.0,0.0
00011100010,7.0,7.0,7.0,7.0,0.0
01001001100,7.345696599561523,,7.0,7.172848299780762,0.09979401240739189
01001011000,7.494451976592642,8.440009679788258,,7.96723082819045,0.27295899723715644
00100001110,7.0,7.0,7.0,7.0,0.0
10011001100,7.0,7.0,7.0,7.0,0.0
00000001110,7.0,7.0,7.0,7.0,0.0
10011011100,7.8127938521153295,8.559689411681601,,8.186241631898465,0.21561017618606163
10000001011,7.0,,7.0,7.0,0.0
10010001111,7.838740224650199,8.695606895309748,,8.267173559979973,0.24735610148245438
10011001000,7.0,7.0,7.0,7.0,0.0
10000001010,7.0,7.0,7.0,7.0,0.0
00110101101,7.572718409838935,,,7.572718409838935,0.0
10100001100,7.0,7.0,7.0,7.0,0.0
00100011110,7.0,7.0,7.0,7.0,0.0
00011001011,7.0,7.0,7.0,7.0,0.0
