count,deltaKd
7,0.0
11,0.0
8,0.0
9,0.0
10,0.0
11,0.0
10,0.0
10,0.0
11,0.0
8,0.0
12,0.0
12,0.0
8,0.0
12,0.0
9,0.0
10,0.0
10,0.0
9,0.0
12,0.0
11,0.0
9,0.0
8,0.0
12,0.0
10,0.0
10,0.0
11,0.0
11,0.0
13,0.0
10,0.0
11,0.0
14,0.0
13,0.0
10,0.0
13,0.0
9,0.0
13,0.0
10,0.0
11,0.0
12,0.0
13,-0.26807043368352534
10,0.0
11,0.0
9,0.0
10,0.0
12,0.0
10,0.0
9,0.0
11,0.0
10,0.0
11,0.0
8,0.0
11,0.0
11,0.0
10,0.0
8,0.0
10,-0.22450445453855483
10,0.0
11,0.0
11,0.0
12,0.0
9,0.0
10,0.0
13,0.06028693242612082
10,0.0
12,0.0
12,0.0
13,0.0
11,0.0
10,0.0
11,0.0
10,0.0
14,0.0
11,0.0
11,0.0
9,0.0
9,0.0
11,-0.15097299280079124
11,0.0
10,0.0
10,0.0
11,0.0
10,0.0
11,0.0
15,-0.21892857259163012
10,0.0
10,0.0
12,0.0
9,0.0
10,0.0
12,0.0
9,0.0
10,0.0
12,0.0
11,0.0
9,0.0
9,0.0
12,0.0
11,0.0
7,0.0
10,0.0
11,0.08899430728396851
10,0.0
8,0.0
6,0.0
9,0.0
10,0.0
11,0.0
7,0.0
9,0.0
13,0.0
8,0.0
9,0.0
10,0.0
8,0.0
9,0.0
10,0.0
12,0.0
10,0.0
10,0.0
8,0.0
10,0.0
11,0.0
13,0.0
9,0.0
10,0.0
12,0.0
11,0.0
10,0.0
11,0.0
9,0.0
8,0.0
8,0.0
11,0.0
11,0.0
9,0.0
8,0.0
9,0.0
11,0.0
12,0.0
10,0.0
8,0.0
7,0.0
8,0.0
10,0.0
8,0.0
8,0.0
11,0.0
12,0.0
8,0.0
11,0.0
10,0.0
11,0.0
10,0.0
9,0.0
12,0.0
12,0.0
11,0.0
12,0.0
10,0.0
8,0.0
7,0.0
11,0.0
10,0.0
12,0.0
10,0.0
8,0.0
10,0.0
10,0.0
12,0.0
11,0.0
9,0.0
10,0.0
9,0.0
10,0.0
9,0.0
14,0.0
7,0.0
10,0.0
9,0.0
8,0.0
11,0.0
9,0.0
9,0.0
8,0.0
12,0.0
10,0.0
11,0.0
10,0.0
9,0.0
12,0.0
11,0.0
12,0.0
12,0.0
11,0.0
9,0.0
12,0.0
11,0.0
10,0.0
11,0.0
8,0.0
10,0.0
10,0.0
10,0.0
10,0.0
7,0.0
13,0.0
12,0.0
10,0.0
7,0.0
9,0.0
11,0.0
6,0.0
10,0.0
12,0.0
10,0.0
10,0.0
13,0.0
8,0.0
11,0.0
10,0.0
8,0.0
10,0.0
10,0.0
10,0.0
11,0.0
7,0.0
11,0.0
11,0.0
12,0.0
10,0.0
10,0.0
10,0.0
9,0.0
11,0.0
12,0.0
11,0.0
10,0.0
9,0.0
11,0.0
10,0.0
9,0.0
9,0.0
10,0.0
9,0.0
11,0.0
11,0.0
11,0.0
8,0.0
12,0.0
10,0.0
11,0.0
9,0.0
10,0.0
9,0.0
10,0.0
9,0.0
9,0.0
11,0.0
10,0.0
14,-0.0328607434332957
12,0.0
11,0.0
9,0.0
10,0.0
12,0.0
10,0.0
8,0.0
11,0.0
11,0.0
10,0.0
9,0.0
10,0.0
12,0.0
10,0.0
11,0.0
9,0.0
11,0.0
10,0.0
7,0.0
7,0.0
10,0.0
11,0.0
10,0.0
11,0.0
10,0.0
11,0.0
9,0.0
9,0.0
12,0.0
8,0.0
10,0.0
9,0.0
11,0.0
9,0.0
9,0.0
8,0.0
10,0.0
11,0.0
8,0.0
13,0.0
9,0.0
12,0.0
9,0.0
9,0.0
7,0.0
7,0.0
10,0.0
12,0.0
8,0.0
7,0.0
10,0.0
12,0.0
12,0.0
7,0.0
7,0.0
10,0.0
10,0.0
8,0.0
7,0.0
11,0.0
9,0.0
9,0.0
8,0.0
9,0.0
8,0.0
11,0.0
12,0.0
8,0.0
9,0.0
10,0.0
9,0.0
9,0.0
7,0.0
8,0.0
14,0.0
10,0.0
8,0.0
10,0.0
9,0.0
10,0.0
12,0.0
7,0.0
9,0.0
11,0.0
10,0.0
11,0.0
10,0.0
10,0.0
7,0.0
8,0.0
11,0.0
10,0.0
8,0.0
9,0.0
8,0.0
7,0.0
9,0.0
7,0.0
9,0.0
13,-0.3703455883016069
10,0.0
10,0.0
9,0.0
10,0.0
11,0.0
10,0.0
10,0.0
8,0.0
11,0.0
8,0.0
10,0.0
11,0.0
9,0.0
9,0.0
11,0.0
11,0.0
13,-0.4227537638327199
9,0.0
9,0.0
9,0.0
10,0.0
10,0.0
8,0.0
10,0.0
13,0.0
10,0.0
7,0.0
10,0.0
7,0.0
12,0.0
8,0.0
10,0.0
11,-0.12516196590106698
12,0.0
11,0.0
12,0.0
11,-0.23284634925754588
9,0.0
10,0.0
11,0.0
9,0.0
8,0.0
10,0.0
13,0.0
11,0.0
8,0.0
13,0.0
13,-0.056497137638360506
12,0.0
10,0.0
9,0.0
7,0.0
11,0.0
9,0.0
10,0.0
8,0.0
12,-0.24877690826605559
11,0.0
10,0.0
11,0.0
11,0.0
10,0.0
7,0.0
9,0.0
10,0.02677437741719313
11,0.0
11,0.0
10,0.0
11,0.0
9,0.0
8,0.0
11,0.0
12,0.0
9,0.0
9,0.0
10,0.0
9,0.0
11,0.0
11,0.0
8,0.0
11,0.0
10,0.0
7,0.0
10,0.0
9,0.0
10,0.0
10,0.0
10,0.0
10,0.0
9,0.0
8,0.0
12,0.0
8,0.0
11,0.0
11,0.0
11,0.0
10,0.0
12,0.0
9,0.0
10,0.0
10,0.0
10,0.0
11,0.0
11,0.0
9,0.0
10,0.0
8,0.0
9,0.0
13,-0.26873659500359004
10,0.0
9,0.0
13,0.0
10,0.0
12,0.0
11,0.0
9,0.0
10,0.0
8,0.0
9,0.0
10,0.0
7,0.0
7,0.0
9,0.0
10,0.0
10,0.0
9,0.0
8,0.0
11,0.0
11,0.0
7,0.0
9,0.0
13,0.0
10,0.0
10,0.0
9,0.0
10,0.0
10,0.0
8,0.0
10,0.0
9,0.0
9,0.0
8,0.0
9,0.0
10,0.0
12,0.0
11,0.0
10,0.0
8,0.0
13,0.0
10,0.0
10,0.0
9,0.0
10,0.0
10,0.0
10,0.0
10,0.0
10,0.0
11,0.0
10,0.0
11,0.0
10,0.0
10,0.0
7,0.0
12,-0.2988005218044636
10,0.0
9,0.0
7,0.0
10,0.0
9,0.0
8,0.0
9,0.0
11,0.0
8,0.0
12,0.0
11,0.0
9,0.0
11,0.0
12,0.0
11,0.0
11,0.0
11,0.0
9,0.0
9,0.0
8,0.0
11,0.0
10,0.0
11,0.0
8,0.0
12,0.0
14,0.0
9,0.0
11,0.0
8,0.0
8,0.0
9,0.0
11,0.0
13,0.0
8,0.0
8,0.0
8,0.0
9,0.0
10,0.0
13,0.0
13,0.0
10,0.0
11,0.0
9,0.0
11,0.0
11,0.0
9,0.0
9,0.0
13,0.0
9,0.0
8,0.0
12,0.0
10,0.0
10,0.0
9,0.0
10,0.0
9,0.0
9,0.0
8,0.0
9,0.0
