,concen,total_ct,1,2,3,4
0,_7_,24817757.0,1944964.0,6198207.0,8478149.0,8196437.0
1,_75_,23665359.0,3107980.0,6324607.0,8148182.0,6084590.0
2,_8_,22150826.0,2592198.0,8435609.0,5081682.0,6041337.0
3,_85_,20098696.0,2964465.0,2486291.0,6047474.0,8600466.0
4,_9_,23062220.0,3832542.0,7149931.0,5429750.0,6649997.0
5,_95_,22501386.0,4905770.0,5308852.0,4448285.0,7838479.0
6,_10_,23237919.0,6081552.0,5099824.0,6477616.0,5578927.0
7,_105_,26503845.0,8998904.0,4556312.0,7400540.0,5548089.0
8,_11_,22282570.0,9101173.0,3730028.0,5057314.0,4394055.0
9,_115_,20697902.0,17748212.0,899814.0,1080088.0,969788.0
10,_12_,20333305.0,18396211.0,522176.0,670784.0,744134.0
11,_0_,17754103.0,15820774.0,563384.0,746791.0,623154.0
