,concen,total_ct,1,2,3,4
0,_7_,26210103.0,2671039.0,7399721.0,7819536.0,8319807.0
1,_75_,27299672.0,2438190.0,7413714.0,8502988.0,8944780.0
2,_8_,23075942.0,2487263.0,5821658.0,8633831.0,6133190.0
3,_85_,17542651.0,2600115.0,4695188.0,6314879.0,3932469.0
4,_9_,23359964.0,2388516.0,8016428.0,7815268.0,5139752.0
5,_95_,23547356.0,6577550.0,7066327.0,5233015.0,4670464.0
6,_10_,19935524.0,5209422.0,5896335.0,5089525.0,3740242.0
7,_105_,18435134.0,5311255.0,3030695.0,5895316.0,4197868.0
8,_11_,21538323.0,14470001.0,2043223.0,3239416.0,1785683.0
9,_115_,22174980.0,19142517.0,956581.0,843846.0,1232036.0
10,_12_,26515557.0,24074609.0,926914.0,328895.0,1185139.0
11,_0_,26013948.0,24038695.0,854380.0,913816.0,207057.0
