,concen,total_ct,1,2,3,4
0,_7_,25162794.0,2220201.0,7263038.0,7731059.0,7948496.0
1,_75_,25341419.0,2238098.0,8584620.0,7834403.0,6684298.0
2,_8_,25201679.0,1704512.0,6184045.0,8615764.0,8697358.0
3,_85_,25871428.0,3714617.0,7566639.0,7358875.0,7231297.0
4,_9_,22171216.0,4128409.0,5796934.0,6851361.0,5394512.0
5,_95_,24166152.0,5583594.0,6498640.0,6621544.0,5462374.0
6,_10_,24289458.0,6914002.0,6635160.0,5662213.0,5078083.0
7,_105_,25289539.0,8407580.0,5542484.0,6139855.0,5199620.0
8,_11_,27539419.0,16988646.0,2436207.0,4804637.0,3309929.0
9,_115_,26326446.0,22696950.0,1070335.0,1076873.0,1482288.0
10,_12_,27202176.0,25356014.0,505662.0,825932.0,514568.0
11,_0_,22780732.0,21132323.0,593590.0,676644.0,378175.0
