,concen,total_ct,1,2,3,4
0,_6_,27037358.0,20483012.0,2097561.0,2248578.0,2208207.0
1,_65_,27646559.0,22969805.0,1539879.0,1642686.0,1494189.0
2,_7_,22648756.0,18110814.0,1841468.0,1250563.0,1445911.0
3,_75_,23326751.0,19719523.0,1471601.0,900825.0,1234802.0
4,_8_,28802267.0,25524416.0,1058846.0,1023516.0,1195489.0
5,_85_,25277468.0,23563124.0,622176.0,442467.0,649701.0
6,_9_,20453683.0,19029990.0,656487.0,273895.0,493311.0
7,_95_,19713737.0,18536366.0,329751.0,467179.0,380441.0
8,_10_,14975424.0,13844059.0,555380.0,341007.0,234978.0
9,_105_,15285166.0,13942401.0,480425.0,320327.0,542013.0
10,_11_,21574082.0,20204193.0,559764.0,299977.0,510148.0
11,_0_,18610387.0,16884523.0,447622.0,614159.0,664083.0
