,concen,total_ct,1,2,3,4
0,_6_,27318153.0,23970252.0,826184.0,1235506.0,1286211.0
1,_65_,17204018.0,13497685.0,1138634.0,1148808.0,1418891.0
2,_7_,25402053.0,21850664.0,1056818.0,1230446.0,1264125.0
3,_75_,27375611.0,23922056.0,1330949.0,965343.0,1157263.0
4,_8_,29761522.0,26594714.0,1025213.0,1002462.0,1139133.0
5,_85_,15683732.0,12637923.0,1053753.0,1103688.0,888368.0
6,_9_,27585583.0,25511735.0,510211.0,667294.0,896343.0
7,_95_,19692942.0,17842982.0,651770.0,449313.0,748877.0
8,_10_,28304634.0,26726944.0,543672.0,497047.0,536971.0
9,_105_,34125700.0,33095006.0,533896.0,190120.0,306678.0
10,_11_,26803184.0,24955523.0,516576.0,765099.0,565986.0
11,_0_,19199777.0,16732710.0,870243.0,790273.0,806551.0
