,concen,total_ct,1,2,3,4
0,_6_,21684274.0,16142451.0,1727211.0,2164600.0,1650012.0
1,_65_,14390361.0,9321259.0,1623944.0,1742575.0,1702583.0
2,_7_,21413388.0,18593723.0,769695.0,1131405.0,918565.0
3,_75_,14551487.0,11497758.0,1070982.0,763868.0,1218879.0
4,_8_,5818831.0,3491720.0,955671.0,784135.0,587305.0
5,_85_,19032052.0,17392094.0,455755.0,548581.0,635622.0
6,_9_,24702381.0,22584137.0,408388.0,785930.0,923926.0
7,_95_,19692323.0,17283687.0,709880.0,672638.0,1026118.0
8,_10_,24677502.0,23039134.0,682707.0,440203.0,515458.0
9,_105_,21613657.0,19881604.0,493368.0,640111.0,598574.0
10,_11_,18315019.0,16536804.0,712731.0,628732.0,436752.0
11,_0_,22944388.0,21310124.0,563723.0,645910.0,424631.0
