,concen,total_ct,1,2,3,4
0,_6_,13126359.0,10751413.0,1597366.0,356002.0,421578.0
1,_65_,12580392.0,10044778.0,1355071.0,298222.0,882321.0
2,_7_,15130419.0,13354457.0,330197.0,318284.0,1127481.0
3,_75_,25664798.0,24412051.0,426815.0,672605.0,153327.0
4,_8_,26341436.0,25584226.0,230836.0,322789.0,203585.0
5,_85_,27050788.0,26274160.0,335470.0,284266.0,156892.0
6,_9_,20932396.0,19553418.0,780469.0,282869.0,315640.0
7,_95_,21310722.0,18510126.0,1064723.0,964966.0,770907.0
8,_10_,23682698.0,22867413.0,571558.0,157236.0,86491.0
9,_105_,17766123.0,16385801.0,496862.0,441814.0,441646.0
10,_11_,27986281.0,26031509.0,886165.0,289320.0,779287.0
11,_0_,27552885.0,26807989.0,355115.0,210154.0,179627.0
