,concen,total_ct,1,2,3,4
0,_6_,30899415.0,28900597.0,745802.0,656175.0,596841.0
1,_65_,25368951.0,23438141.0,634499.0,601352.0,694959.0
2,_7_,27634934.0,26016976.0,393441.0,598869.0,625648.0
3,_75_,25450645.0,23620000.0,535872.0,848419.0,446354.0
4,_8_,29048656.0,26225223.0,842752.0,921638.0,1059043.0
5,_85_,19201206.0,15342630.0,1830536.0,987189.0,1040851.0
6,_9_,24482468.0,21877605.0,1039223.0,944129.0,621511.0
7,_95_,23322445.0,20714763.0,735762.0,1011915.0,860005.0
8,_10_,29900553.0,27688889.0,784105.0,674512.0,753047.0
9,_105_,25731291.0,23588718.0,950657.0,616932.0,574984.0
10,_11_,28035391.0,26669180.0,100702.0,704092.0,561417.0
11,_0_,25054699.0,22974980.0,916002.0,712032.0,451685.0
