,concen,total_ct,1,2,3,4
0,_6_,22763335.0,21239041.0,430421.0,510615.0,583258.0
1,_65_,20297494.0,18695329.0,591572.0,552220.0,458373.0
2,_7_,23261727.0,21293659.0,610566.0,725581.0,631921.0
3,_75_,24763051.0,23383480.0,373269.0,474164.0,532138.0
4,_8_,18657298.0,17113307.0,488341.0,484707.0,570943.0
5,_85_,16763096.0,14960315.0,508090.0,549715.0,744976.0
6,_9_,22593571.0,20953756.0,572944.0,550053.0,516818.0
7,_95_,21735337.0,19969798.0,642381.0,592301.0,530857.0
8,_10_,8147584.0,4543097.0,1186118.0,1360142.0,1058227.0
9,_105_,18848741.0,16644196.0,731620.0,733641.0,739284.0
10,_11_,23167097.0,21662336.0,454939.0,488882.0,560940.0
11,_0_,17519025.0,15662312.0,710693.0,606553.0,539467.0
