ScenarioType,Ag1,Ag2,Ag3,Ag4,Ag5,Ag6,Ag7,Ag8,Ag9,Ag10,Ag11,Ag12,Ag13,Ag14,Ag15,Ag16,MeanLogProb_Moderate,StdErrLogProb_Moderate,MeanLogProb_Weak,StdErrLogProb_Weak,MeanPaths_Strong,StdErrPaths_Strong
sequential,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,-12.456034621952618,1.037490497330258,-10.180257817265911,0.27373478648170446,12021371.3,9013945.972715737
sequential,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,-12.663612277932549,1.1458398199688695,-10.163163543419637,0.27948611967129916,21052293.6,14700308.185977282
sequential,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,-12.8618868562573,0.7778492939707876,-10.622305976377048,0.27282075881133605,3947722.4,2314284.5606023185
sequential,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,-13.235155832432914,0.9470502187418578,-10.6281841617226,0.2789737301275144,6170172.1,3376908.037726012
sequential,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,-13.425261946689202,0.9993566601565761,-10.284435554095827,0.26754033624183937,3652536.5,2941755.848634328
sequential,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,-13.658795720300947,1.2015270313631596,-10.238379043140565,0.2784499583206086,23549710.2,14469741.536934443
sequential,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,-13.749066412093418,0.7683935346557493,-10.723600630785977,0.26535062696028316,1294241.7,852553.533939339
sequential,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,-13.761370884000527,1.1089866083953988,-9.996776609085904,0.2708194658287761,36163978.3,21809472.09371283
sequential,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,-13.892709622301062,1.1134789409425079,-10.03766892137555,0.265004574255277,16903141.5,11509752.565041259
sequential,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,-14.190426519517601,1.0733751569653802,-10.020204880807778,0.2731785295400782,51497063.3,24934138.89071686
sequential,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,FluB,-14.339557337748621,0.8122246336150475,-9.982825661081188,0.2547458959462839,100698623.0,25254760.731891613
sequential,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,-14.493018848861789,1.0645020405509396,-10.743739736400576,0.2779606956438652,5794035.6,2762602.242307109
sequential,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,-14.51416649083501,0.6364091354890796,-9.995415610535845,0.2515052079554308,54761036.2,17258051.381172497
sequential,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,-14.69702313893193,0.881812787404604,-10.380168805653375,0.24306240133527438,142408902.1,36530048.69803382
sequential,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,-14.840430619815516,0.8399934113023099,-10.390492359814557,0.24499729919952298,76510511.7,22604423.540030025
sequential,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,-14.98160329104495,1.0810888300588566,-10.139551781335244,0.26076774310662365,4674749.2,3642675.2934884974
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,FluB,-15.024904419738414,0.8490121914126143,-10.025545373735168,0.2566972029324957,118964505.3,30661833.726728722
sequential,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,-15.086622536457575,0.6313515341580472,-10.051618257235072,0.2480971203286138,19252926.4,6877825.037877231
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,FluB,FluB,FluB,-15.24262190230812,1.2233309316720762,-10.412133969683218,0.28087219516818857,21924676.0,12980145.91722008
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,FluB,FluB,-15.275058045270711,1.0534946489345896,-10.119425243911664,0.27758292118698186,55004498.4,26027779.184815165
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,-15.377462815677365,0.9408477831710387,-10.421975006437298,0.24182941631978097,167042437.9,40757356.564387396
sequential,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,-15.433175506075157,0.7178607630607391,-10.443317981553863,0.2393173848984393,26891804.1,8081993.357665015
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,FluB,-16.256023433897415,0.9308963096809143,-10.136055423619881,0.25902350468663743,116554602.9,28177014.082933534
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,FluB,FluB,FluB,FluB,-16.293510869088006,1.1170344752815387,-10.974768099890118,0.27991866245617686,4933475.4,2310591.2074130005
sequential,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,-16.477694814450025,0.8493488489831659,-10.148252360203829,0.24577564551272763,3903947.1,1822608.5425371
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,-16.624500567128486,1.038755449921308,-10.528864402031404,0.23999473538303465,162347629.0,38843121.12537362
sequential,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,-16.68278757583958,0.9363639013523509,-10.416515962878197,0.25258340233634585,0.0,0.0
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,FluB,FluB,-16.79297951281254,1.0850684303906093,-10.298543898103805,0.28100435957196573,48793635.4,20965926.06070362
sequential,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,-16.847207451559257,0.8390512705201384,-10.53390506977958,0.2378301778492678,5419457.8,1900258.019040385
sequential,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,-17.000275427105837,0.6850237490916629,-10.864264238064731,0.24976504689595613,0.0,0.0
sequential,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,-17.03400588399327,0.8573883781134475,-11.114564560262037,0.2677346363411125,133583.2,103166.02782763971
sequential,H1,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,FluB,FluB,FluB,-17.28912897908284,1.2828011589078157,-10.685129319181772,0.2827206106768056,17203815.0,9619671.445712443
sequential,H1,H1,H1,H1,H1,H1,FluB,H3,H3,H3,H3,H3,H3,H3,H3,H3,-17.32389202797191,0.8400671135630526,-10.447128661198935,0.24281810446229654,0.0,0.0
sequential,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,-17.50190479571425,0.7778214088755374,-11.210066408247505,0.25956896462625156,45023.5,34151.20463874997
sequential,FluB,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,-17.54706677894682,0.7072746588940693,-10.838245032266961,0.24173976534465347,0.0,0.0
sequential,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,-17.611902933249315,1.0154843429508964,-11.149307906985497,0.2741895230708809,278271.2,177821.65839639568
sequential,H1,H1,H1,H1,H1,FluB,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,-17.707457757759514,0.6993881427625357,-10.47069917404619,0.23851616112661908,0.0,0.0
