FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,1.3121052163169705e-13,7.255383713706331e-14,1.0894111043920621e-13,1.0430199774332577e-13,9.05114169553711e-14,1.5139612655928312e-13,1.0116413170772642e-13,6.408099390953073e-14,1.33130940753806e-13,1.0606787909646761e-13
H3,H3,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,FluB,3.1988034344146356e-14,5.3661898264110316e-14,4.8633370110552036e-14,4.1882576191734426e-14,6.301026549771629e-14,5.49164444313263e-14,5.894696299886187e-14,5.4663544167234886e-14,6.246752956876868e-14,4.0181212206037735e-14
FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,1.0235882544719104e-19,1.6889617287733448e-19,9.305385936397867e-20,7.81065055482276e-20,6.532476384082691e-20,3.6600837875753e-19,1.0561978139706497e-19,1.132036269452976e-19,8.659332828569341e-20,6.677798422090939e-20
FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,3.869687445309176e-12,2.970343572722885e-12,3.708590306336919e-12,3.96410404319139e-12,4.6651543749443086e-12,4.559914639085229e-12,3.117821305426312e-12,2.6228386493771166e-12,4.7373029403817685e-12,4.405534030676014e-12
H1,H1,H1,H1,FluB,FluB,FluB,H3,H3,H3,H3,H3,H3,H3,H3,H3,6.368055808734203e-11,5.009485445981207e-11,2.937889970714282e-11,1.2384895359977713e-10,2.0186918793466794e-11,4.367174133089837e-11,6.036978298716008e-11,2.169570642763148e-11,1.6351508130985027e-10,9.94131321024212e-11
H3,H3,H1,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,3.809381232485974e-27,3.412118916308747e-27,3.684536146832554e-27,1.4032403794222392e-25,1.088515964716149e-26,5.0292511454317346e-27,2.741952110966769e-27,6.203441220011284e-25,5.694966927346432e-27,2.2528634972508077e-26
FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H1,H3,8.613910203574745e-24,8.967370432300606e-24,9.80464964798545e-24,8.507920839659483e-24,8.8243496434928e-24,8.774136502612744e-24,9.349622611712583e-24,7.392532648161616e-24,9.380541949132754e-24,8.015901685912196e-24
H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,H1,H1,3.1324445073602005e-15,4.134208847646915e-15,1.1911162854019613e-14,5.356562318583898e-16,2.3552178619631945e-16,2.174511108068829e-15,1.6455441573996432e-15,3.046081908664897e-15,3.2428461354770322e-15,7.667798335538218e-16
FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H3,H3,H3,H3,H3,H3,7.760982560115898e-19,4.587210505203885e-19,6.985740946960815e-19,6.747394873543451e-19,5.759786860269226e-19,9.416022485428013e-19,5.84896218320974e-19,4.630146563199086e-19,8.315278397141783e-19,6.471429021862592e-19
H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,1.515874125225534e-23,4.235294906202884e-23,1.2805362871652555e-24,7.761589851806647e-25,5.112219928787292e-25,1.1326189559893105e-22,9.593823125554243e-25,1.870611841783563e-23,3.7215349971519093e-25,1.711426569335184e-25
H1,H1,H1,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,3.724849528633251e-18,2.6674441629604563e-18,1.857406589895527e-18,1.4253467027172678e-16,8.982700917490257e-18,3.686869679800439e-18,3.6038993604428245e-18,1.871446899248353e-15,7.032200010830282e-18,3.220693580996605e-17
H1,H1,H1,H1,FluB,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,1.0491342545769589e-08,7.057539779244043e-09,5.400971894044868e-09,1.590436503730287e-08,2.6112299524213432e-09,8.927718643985799e-09,6.1652200483214065e-09,4.068775639830807e-09,1.982750604836718e-08,1.0946238030228932e-08
FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,H1,H1,H1,5.482685992265955e-21,9.418662038069764e-21,5.6923269078160156e-21,5.2833447637576395e-21,3.813810623473243e-21,1.8044264141080967e-20,6.6544712489697495e-21,6.805616368435293e-21,4.273025730275124e-21,3.450127296597749e-21
H1,H1,H1,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H3,H3,H3,H3,8.564086635780343e-17,2.6471845414139075e-17,3.314089590463746e-17,1.0007973897665807e-16,3.70382105624586e-17,5.121649970224262e-17,6.414693838679669e-17,1.2891777601524123e-17,1.1218375395532967e-16,1.404154099798569e-16
H3,H3,H3,H3,H3,H3,H3,H1,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,7.602810040362451e-23,3.4688467932346655e-23,4.9991284370930827e-23,1.220125590930141e-21,2.1261731812888694e-22,5.430532637137026e-23,5.045443068324133e-23,4.021137895176576e-20,6.833851440510268e-23,2.7303082346651385e-22
H3,H1,H1,H1,H1,H1,H1,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,5.173697723223176e-19,2.391337167487608e-19,6.673402324376209e-19,2.8372076829951064e-17,1.2280653607082613e-18,3.939602101762922e-19,1.0401595468173608e-19,6.141405739167273e-16,6.49289166814948e-19,2.5145597798819545e-18
H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,FluB,FluB,6.880633630844596e-08,1.2019231587765594e-07,5.917606921023793e-08,5.056081746599258e-07,5.148696462253411e-08,8.428163201934974e-08,7.851043397176995e-08,1.210251078958497e-07,6.81853446296249e-07,5.524734028661314e-07
H1,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,FluB,FluB,1.0470118656026887e-17,8.64208759548199e-18,8.87741903557525e-18,6.294413879647913e-17,5.038769513513596e-17,1.031251773474721e-17,1.778372768799296e-17,4.93277398381847e-16,1.7644197140786037e-17,6.722161703359228e-17
FluB,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,H3,H3,2.003174726070839e-08,6.15522512280908e-09,3.7540356654977165e-08,1.780643771736121e-08,1.468150709552918e-08,2.0911629287480805e-08,5.6303520679972675e-09,2.4932490785649312e-08,2.8170631193531527e-08,6.369489001689493e-08
FluB,FluB,FluB,FluB,FluB,FluB,H3,H3,H3,H3,H1,H1,H1,H1,H1,H1,1.4713374529991496e-22,6.460748780985122e-22,3.023116824891945e-22,1.2071761931462585e-22,6.642727072287498e-23,1.1106676341855863e-21,1.3704392992025132e-22,6.642551096649018e-22,3.463970094114946e-22,4.613112662110926e-23
FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H3,H3,4.6164328636521284e-24,3.528263889088896e-24,9.408043399463109e-25,1.3049481519625616e-24,3.755977285431467e-25,5.1339290505530835e-23,2.311182412216253e-24,1.661280587758161e-24,1.992813213393119e-24,3.473515146758974e-23
H1,H1,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,FluB,FluB,1.0285449369834928e-15,1.1971855801778203e-15,6.960710872075334e-16,5.715518776188671e-15,4.6042202621064665e-15,9.865191138356325e-16,1.9700095162060144e-15,5.106158283563423e-14,2.3614753375309446e-15,8.288576583885434e-15
H3,H3,H3,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,1.614850353747861e-27,4.0577838310120574e-26,1.9779559071003458e-27,3.6775709884104257e-26,4.3846647675549664e-27,1.3969927979452288e-25,3.028875709413668e-26,7.437489389699668e-26,1.847909556247202e-27,6.583532911667482e-28
FluB,FluB,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,5.04394526442344e-16,4.774340946328961e-16,1.0814731789470545e-15,1.0254104401225891e-15,5.419052549533069e-16,1.0606396204170056e-15,5.725812125774198e-16,4.676253261992702e-16,1.3401586860258861e-15,1.014185801402606e-15
FluB,H3,H3,H3,H3,H3,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,1.0235885508639428e-19,1.6889629128592171e-19,9.305392909041883e-20,7.810651258582254e-20,6.53247859523661e-20,3.6600856799186057e-19,1.0561983027734854e-19,1.132039558806875e-19,8.659337646272384e-20,6.677799599748289e-20
FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H3,H3,H3,4.0641657619283476e-23,4.453592762058843e-24,4.837379190177657e-23,7.451690802761999e-24,4.8523305706911775e-24,3.137158137955125e-23,1.425134556941451e-23,3.947993786150905e-24,2.148272398822375e-23,2.783853950270215e-23
H3,H3,H3,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,FluB,4.617741346940092e-15,5.861614691156299e-15,5.3322692839570015e-15,4.663195178000664e-15,6.42246814963767e-15,6.113266844904559e-15,5.831011574691117e-15,5.712782484809023e-15,8.748473175617254e-15,7.3003079193873e-15
H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,FluB,FluB,FluB,H1,2.103695648952525e-18,1.3697940535732568e-17,4.703145999137067e-19,8.71349793397543e-18,7.529540593590143e-18,4.568650752993373e-17,1.405066549631708e-17,3.4016400647989573e-17,1.200954214211839e-18,2.1510736260314554e-19
