FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H3,H3,H3,H3,H3,H3,H3,2.0774045007670555e-05,2.6002319944985666e-05,1.8957349136375296e-05,1.9260834757711368e-05,2.326493711900511e-05,3.0325724003095745e-05,2.2500681344935385e-05,1.844933657962487e-05,2.563684230090747e-05,2.0344701234882082e-05
H3,H3,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,FluB,1.4461198117070925e-06,1.3855326835467576e-06,1.4968220319275472e-06,1.4649434527102069e-06,1.2696260128399899e-06,1.4678677429979175e-06,1.604141858964893e-06,1.4307889556207847e-06,1.5961677224105392e-06,1.4471914890243963e-06
FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,H1,H1,H1,H1,3.802614073228296e-07,3.282151430846347e-07,4.543267818822266e-07,4.564582162087435e-07,4.100769954717738e-07,3.7418537941610113e-07,4.2757710460205884e-07,4.5723070239037645e-07,3.756020680454812e-07,4.191258736297392e-07
FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,H1,H1,H1,H3,H3,H3,H3,1.4040988697748454e-05,1.673744805448194e-05,1.3478322103637176e-05,1.3854004378063551e-05,1.6057886741893156e-05,1.9648833930156083e-05,1.5083237303169044e-05,1.3217766753261085e-05,1.6876437638366954e-05,1.410825935223033e-05
H1,H1,H1,H1,FluB,FluB,FluB,H3,H3,H3,H3,H3,H3,H3,H3,H3,2.3889767538784145e-05,2.2512791655187575e-05,1.9289114700123976e-05,2.4491182603264835e-05,1.40126700282214e-05,3.4418378898070716e-05,2.562938536381918e-05,2.4109846015438646e-05,3.184853451659405e-05,2.3666545357996985e-05
H3,H3,H1,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,4.134738957618216e-07,3.9002707613255503e-07,4.7077733768703886e-07,4.5965516702702185e-07,3.9017352167307204e-07,4.4376448208323746e-07,5.057646286993844e-07,4.2063051976137696e-07,5.553920301965897e-07,4.341609717493775e-07
FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H1,H1,H1,H3,1.1418218316993832e-06,1.1312916591409378e-06,1.089826828658308e-06,1.0748313066769503e-06,1.1141871211171036e-06,1.2372147029325817e-06,1.110231684464585e-06,1.074364110291748e-06,1.1080429505369774e-06,1.1167843021158437e-06
H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,H3,FluB,FluB,H1,H1,2.1130550720385334e-06,1.7283136254592585e-06,2.558437260402803e-06,2.488922666635021e-06,2.2500085308909083e-06,2.2678977748609244e-06,2.355595152240383e-06,2.617372959925034e-06,2.3497634146096274e-06,2.2423953201295955e-06
FluB,FluB,FluB,FluB,FluB,FluB,FluB,FluB,H1,H1,H3,H3,H3,H3,H3,H3,9.700833975365826e-06,1.1887816244376205e-05,9.045272719548156e-06,9.227133163359574e-06,1.070563225226299e-05,1.3758853884003046e-05,1.0521526229025387e-05,8.74722115505405e-06,1.1836469100410322e-05,9.463670051843334e-06
H3,H3,H3,H3,H3,H3,H3,FluB,FluB,FluB,H1,H1,H1,H1,H1,H1,1.9660780457705196e-07,1.6598604130888195e-07,2.310311276222084e-07,2.295267347142089e-07,2.0897383290013225e-07,1.8898376360217074e-07,2.132944343785634e-07,2.314456830274967e-07,1.8731847856418368e-07,2.123079079371384e-07
