variant,counts_9114_i_F_1,counts_9114_i_F_3,counts_9114_i_F_2,counts_9114_i_F_6,counts_9114_i_F_7,counts_9114_i_F_5,counts_9114_i_F_4,counts_9114_i_F_8
1100111101100100,1390.0,594.0,196.0,2610.0,2202.0,2350.0,2022.0,782.0
1111101010000111,1330.0,290.0,129.0,1399.0,1348.0,1409.0,691.0,1941.0
1000110100111000,1238.0,714.0,232.0,1608.0,2153.0,2072.0,923.0,1681.0
1101111000111101,1147.0,23.0,5.0,23.0,59.0,72.0,21.0,90.0
1100010101101011,1127.0,184.0,187.0,544.0,425.0,689.0,521.0,325.0
1111011100101010,1065.0,179.0,142.0,92.0,218.0,251.0,108.0,122.0
1010110001001101,999.0,295.0,174.0,85.0,40.0,64.0,188.0,138.0
1110011011001001,987.0,273.0,279.0,71.0,161.0,157.0,178.0,44.0
1111100001100011,979.0,118.0,19.0,277.0,281.0,430.0,296.0,196.0
1111010111100001,955.0,371.0,282.0,96.0,116.0,473.0,406.0,91.0
1100010100011101,917.0,322.0,146.0,387.0,704.0,884.0,601.0,1407.0
1110010110000011,888.0,151.0,112.0,216.0,426.0,284.0,341.0,324.0
1101110101101111,885.0,20.0,36.0,147.0,226.0,71.0,143.0,104.0
0100101101010001,882.0,267.0,248.0,61.0,100.0,71.0,71.0,64.0
1100010100010001,878.0,531.0,433.0,908.0,995.0,1378.0,968.0,1164.0
1100011100111011,864.0,66.0,133.0,113.0,132.0,89.0,92.0,137.0
0111011110110011,859.0,520.0,326.0,81.0,108.0,95.0,27.0,177.0
1111100110010011,846.0,573.0,414.0,291.0,295.0,143.0,176.0,434.0
1100010111000101,809.0,1334.0,1238.0,107.0,129.0,374.0,171.0,90.0
1101111001001110,799.0,54.0,143.0,362.0,182.0,175.0,142.0,41.0
1101001001001101,781.0,330.0,241.0,143.0,148.0,454.0,174.0,161.0
1000010010000001,780.0,147.0,107.0,298.0,403.0,631.0,408.0,266.0
1101101001000011,774.0,568.0,355.0,1542.0,1333.0,1782.0,1328.0,881.0
1111101011101000,768.0,153.0,136.0,133.0,78.0,232.0,284.0,28.0
1111100110101010,765.0,88.0,37.0,478.0,539.0,590.0,195.0,259.0
1110010010001110,735.0,75.0,143.0,230.0,312.0,369.0,214.0,239.0
1101111101011000,731.0,107.0,93.0,73.0,72.0,286.0,169.0,81.0
1110110100010010,730.0,82.0,131.0,82.0,75.0,66.0,38.0,50.0
0101011110001100,730.0,127.0,58.0,273.0,326.0,286.0,166.0,402.0
1111011110101101,726.0,312.0,186.0,290.0,211.0,232.0,61.0,149.0
1100010000011101,719.0,419.0,107.0,370.0,645.0,765.0,483.0,644.0
1100010110011100,716.0,136.0,117.0,151.0,332.0,242.0,223.0,350.0
1101010000011101,715.0,47.0,60.0,86.0,269.0,194.0,120.0,541.0
0111011011001000,713.0,169.0,274.0,89.0,176.0,311.0,124.0,23.0
1110110000001010,712.0,531.0,247.0,162.0,176.0,185.0,201.0,99.0
1111110010011111,703.0,198.0,122.0,722.0,600.0,497.0,256.0,1133.0
1100010000001100,703.0,210.0,128.0,594.0,358.0,747.0,308.0,303.0
1111101100111101,700.0,82.0,76.0,411.0,242.0,206.0,110.0,747.0
1010010001000001,697.0,315.0,197.0,205.0,310.0,677.0,264.0,160.0
1110001010110101,694.0,18.0,41.0,47.0,71.0,117.0,78.0,80.0
1111001101101100,689.0,74.0,15.0,423.0,334.0,594.0,347.0,221.0
1110010101110111,675.0,184.0,97.0,402.0,352.0,439.0,356.0,199.0
1001011110110011,663.0,164.0,76.0,133.0,133.0,116.0,54.0,259.0
1101010101100001,660.0,276.0,76.0,314.0,351.0,178.0,253.0,118.0
1101001101101101,652.0,331.0,56.0,351.0,336.0,192.0,341.0,292.0
1100010000000011,647.0,288.0,96.0,517.0,444.0,793.0,338.0,363.0
1101010000111101,640.0,332.0,149.0,1342.0,1027.0,1026.0,621.0,2026.0
1101111001000111,638.0,39.0,38.0,178.0,129.0,204.0,186.0,37.0
