variant,counts_9114_c_F_1,counts_9114_c_F_3,counts_9114_c_F_2,counts_9114_c_F_6,counts_9114_c_F_7,counts_9114_c_F_5,counts_9114_c_F_4,counts_9114_c_F_8
1100010111000101,1544.0,1665.0,2603.0,265.0,136.0,167.0,302.0,145.0
1110011010001011,1193.0,160.0,308.0,150.0,179.0,149.0,268.0,269.0
1101010000111101,738.0,288.0,207.0,752.0,1273.0,1605.0,1255.0,2994.0
0111011110110011,695.0,701.0,1141.0,25.0,33.0,71.0,118.0,155.0
1111011101010001,668.0,233.0,189.0,142.0,227.0,227.0,213.0,436.0
1100011001100101,666.0,174.0,313.0,194.0,99.0,313.0,363.0,112.0
1101000100001101,655.0,139.0,127.0,286.0,424.0,364.0,326.0,563.0
1111010110110101,639.0,22.0,128.0,85.0,123.0,151.0,39.0,136.0
1111111100001001,614.0,53.0,279.0,55.0,78.0,227.0,57.0,190.0
1111001010000001,608.0,128.0,207.0,71.0,180.0,147.0,122.0,122.0
1100111101110000,582.0,83.0,22.0,164.0,42.0,174.0,93.0,88.0
1111010111100001,552.0,1119.0,879.0,168.0,490.0,301.0,522.0,73.0
1110010010110101,549.0,118.0,404.0,57.0,371.0,275.0,373.0,546.0
1100010001000101,498.0,566.0,102.0,450.0,569.0,489.0,307.0,767.0
1111101110100101,485.0,120.0,76.0,125.0,177.0,166.0,51.0,154.0
1111110000110100,467.0,9.0,4.0,125.0,41.0,141.0,49.0,239.0
1111100100110111,461.0,930.0,358.0,50.0,40.0,89.0,117.0,136.0
1111011010010011,438.0,112.0,53.0,174.0,256.0,429.0,280.0,390.0
1110011000000011,426.0,57.0,577.0,174.0,403.0,534.0,434.0,406.0
1101011101110010,419.0,176.0,201.0,218.0,273.0,481.0,282.0,100.0
1111011110101101,415.0,241.0,597.0,68.0,210.0,130.0,79.0,439.0
1110010001000101,395.0,240.0,98.0,478.0,394.0,790.0,547.0,358.0
1101101001010011,392.0,188.0,123.0,229.0,202.0,160.0,242.0,180.0
1010010100010001,392.0,180.0,108.0,289.0,362.0,792.0,216.0,631.0
1111000010100001,388.0,137.0,64.0,336.0,120.0,420.0,209.0,178.0
1100010010001111,388.0,67.0,123.0,230.0,234.0,272.0,295.0,548.0
1011011000001100,388.0,71.0,36.0,167.0,197.0,159.0,98.0,159.0
1110010100010011,384.0,153.0,216.0,606.0,619.0,592.0,434.0,838.0
1111111100101101,382.0,71.0,67.0,105.0,124.0,106.0,44.0,137.0
1101101001000011,382.0,693.0,182.0,1366.0,1140.0,2347.0,1556.0,483.0
1111011010111000,380.0,64.0,87.0,737.0,926.0,927.0,519.0,846.0
1111000000011011,378.0,182.0,239.0,172.0,218.0,358.0,130.0,427.0
1111111000011001,375.0,132.0,124.0,139.0,213.0,516.0,303.0,208.0
1110011011001101,373.0,214.0,18.0,194.0,89.0,329.0,137.0,200.0
