variant,counts_9114_b_F_5,counts_9114_b_F_4,counts_9114_b_F_6,counts_9114_b_F_7,counts_9114_b_F_3,counts_9114_b_F_2,counts_9114_b_F_1,counts_9114_b_F_8
1101101001000011,2365.0,2012.0,1383.0,1364.0,887.0,345.0,301.0,829.0
1100111101100100,2360.0,2195.0,1695.0,2041.0,1179.0,591.0,791.0,679.0
1000110100111000,1828.0,1487.0,2295.0,2743.0,1008.0,483.0,566.0,2017.0
1101001110000010,1309.0,776.0,678.0,706.0,437.0,202.0,125.0,215.0
1010101011011000,1297.0,1422.0,887.0,697.0,659.0,434.0,351.0,141.0
1000010111010010,1130.0,628.0,646.0,540.0,344.0,109.0,156.0,84.0
1100010010001011,1056.0,576.0,279.0,364.0,353.0,186.0,174.0,561.0
1101000111100010,1015.0,659.0,465.0,336.0,376.0,21.0,40.0,95.0
1110010011100011,1014.0,1399.0,471.0,575.0,447.0,475.0,107.0,225.0
1110101111100011,1010.0,784.0,538.0,227.0,360.0,48.0,112.0,78.0
1100010001100011,976.0,996.0,334.0,758.0,391.0,217.0,317.0,125.0
1110010001000011,966.0,714.0,546.0,444.0,322.0,184.0,293.0,260.0
1100010110110001,960.0,980.0,541.0,823.0,611.0,534.0,559.0,1194.0
1111011101000000,911.0,1360.0,601.0,633.0,682.0,249.0,384.0,398.0
1111011010111000,896.0,626.0,344.0,963.0,182.0,369.0,120.0,407.0
1100010011100011,887.0,767.0,384.0,276.0,371.0,77.0,50.0,33.0
1100010100010001,882.0,1108.0,640.0,740.0,600.0,356.0,390.0,1226.0
1100010101101011,848.0,944.0,465.0,481.0,465.0,118.0,168.0,288.0
1111011111001000,846.0,796.0,257.0,378.0,336.0,66.0,83.0,28.0
1111101010000111,825.0,952.0,636.0,1245.0,341.0,301.0,206.0,2049.0
1101101011001010,816.0,559.0,446.0,324.0,437.0,126.0,128.0,7.0
1101010000111101,801.0,999.0,834.0,1351.0,388.0,322.0,554.0,3033.0
1100010011111011,794.0,788.0,387.0,575.0,383.0,208.0,116.0,345.0
1111000000101000,793.0,722.0,592.0,591.0,301.0,113.0,204.0,606.0
1100010010001010,783.0,434.0,192.0,449.0,200.0,105.0,113.0,59.0
1100101011111101,778.0,824.0,590.0,751.0,354.0,266.0,171.0,501.0
1100101011011001,774.0,478.0,332.0,199.0,198.0,93.0,225.0,120.0
1110010011001010,771.0,819.0,558.0,241.0,437.0,123.0,149.0,27.0
1111000111101001,769.0,541.0,428.0,620.0,435.0,186.0,83.0,279.0
1111010011110011,761.0,985.0,448.0,931.0,242.0,131.0,108.0,518.0
1100010110000100,755.0,1017.0,557.0,672.0,691.0,162.0,405.0,666.0
1110010101100001,750.0,1223.0,510.0,659.0,411.0,141.0,614.0,337.0
1100010111110011,746.0,542.0,363.0,327.0,299.0,69.0,87.0,169.0
1000101111010110,744.0,632.0,837.0,493.0,425.0,48.0,101.0,26.0
1100010001001010,740.0,688.0,393.0,364.0,323.0,86.0,95.0,73.0
1110010100010010,739.0,456.0,416.0,503.0,251.0,161.0,104.0,331.0
1100010011001110,737.0,694.0,343.0,184.0,408.0,287.0,93.0,14.0
1110010101100011,729.0,713.0,510.0,438.0,262.0,215.0,206.0,493.0
1110010001001001,729.0,744.0,230.0,251.0,205.0,323.0,337.0,249.0
1100001101001010,725.0,286.0,41.0,79.0,116.0,58.0,37.0,5.0
1101011101100010,722.0,398.0,152.0,355.0,359.0,31.0,35.0,72.0
1100010011011011,722.0,533.0,161.0,329.0,246.0,72.0,174.0,122.0
1100010101000001,720.0,556.0,261.0,355.0,214.0,134.0,123.0,169.0
1101011101100000,719.0,599.0,222.0,217.0,75.0,24.0,72.0,46.0
1110010011110010,717.0,493.0,252.0,312.0,455.0,255.0,223.0,107.0
1110010101101011,716.0,780.0,280.0,348.0,361.0,146.0,132.0,278.0
1101101001000100,712.0,977.0,536.0,453.0,312.0,24.0,107.0,174.0
1110010101100010,707.0,429.0,277.0,253.0,300.0,99.0,170.0,75.0
1100010101011110,700.0,338.0,226.0,343.0,209.0,128.0,52.0,142.0
1101000111110110,696.0,610.0,432.0,596.0,342.0,133.0,90.0,207.0
1100010011101100,696.0,425.0,352.0,246.0,244.0,48.0,107.0,135.0
1100010001101010,696.0,833.0,631.0,265.0,507.0,151.0,208.0,147.0
1101100011010000,694.0,518.0,234.0,183.0,100.0,52.0,99.0,77.0
1100010001001100,694.0,577.0,241.0,374.0,141.0,43.0,205.0,143.0
1100010001000011,691.0,591.0,290.0,221.0,420.0,142.0,189.0,92.0
1100010101100001,688.0,771.0,382.0,261.0,356.0,37.0,142.0,136.0
1100010011001100,688.0,900.0,602.0,366.0,258.0,295.0,186.0,43.0
1100010001001101,684.0,459.0,240.0,377.0,384.0,305.0,242.0,612.0
0110111010000010,684.0,767.0,767.0,804.0,575.0,72.0,146.0,100.0
1101000001100011,680.0,452.0,410.0,386.0,220.0,52.0,163.0,350.0
1100010111011010,680.0,625.0,621.0,406.0,334.0,52.0,182.0,151.0
1100010000000011,679.0,495.0,370.0,479.0,248.0,179.0,156.0,428.0
1101100001000000,678.0,510.0,374.0,543.0,183.0,276.0,73.0,103.0
1110010001110010,677.0,577.0,223.0,324.0,368.0,98.0,227.0,134.0
0100010010000000,675.0,893.0,490.0,625.0,264.0,327.0,465.0,296.0
1100010111111011,673.0,571.0,268.0,353.0,438.0,90.0,90.0,211.0
1100010001000101,672.0,452.0,256.0,563.0,243.0,445.0,209.0,398.0
1111011011100000,671.0,938.0,362.0,246.0,523.0,271.0,91.0,59.0
1100010100010000,666.0,627.0,272.0,382.0,277.0,161.0,201.0,184.0
1101000111011001,661.0,453.0,357.0,498.0,413.0,170.0,302.0,426.0
1111101001001110,659.0,462.0,589.0,937.0,387.0,54.0,104.0,480.0
1110010011111011,658.0,915.0,408.0,815.0,433.0,350.0,159.0,263.0
0110010010011000,658.0,642.0,663.0,842.0,270.0,152.0,343.0,433.0
1110010010001010,656.0,356.0,352.0,483.0,236.0,118.0,118.0,192.0
1100010000000010,656.0,680.0,271.0,409.0,190.0,114.0,133.0,302.0
1100010001010100,651.0,1126.0,620.0,760.0,550.0,365.0,399.0,598.0
1110010011000001,647.0,436.0,240.0,165.0,236.0,442.0,278.0,53.0
1100010001111010,646.0,574.0,284.0,395.0,255.0,79.0,83.0,180.0
1101001011101011,643.0,355.0,355.0,242.0,182.0,73.0,32.0,60.0
1010011000101110,643.0,770.0,819.0,955.0,422.0,155.0,179.0,917.0
1100010111100000,642.0,408.0,224.0,133.0,161.0,73.0,85.0,39.0
1100010011000001,639.0,643.0,263.0,119.0,266.0,214.0,77.0,42.0
1111101010000010,638.0,490.0,424.0,401.0,273.0,127.0,172.0,264.0
1101011101010010,638.0,295.0,154.0,315.0,196.0,34.0,53.0,107.0
1101101001000010,636.0,548.0,339.0,216.0,472.0,84.0,101.0,45.0
1100010100010010,632.0,316.0,307.0,456.0,148.0,168.0,168.0,297.0
1101000111101001,629.0,464.0,118.0,157.0,165.0,112.0,71.0,46.0
1110010101000110,625.0,398.0,181.0,127.0,149.0,231.0,63.0,115.0
1110010001001010,624.0,990.0,267.0,374.0,264.0,165.0,70.0,57.0
1111100111100100,623.0,352.0,212.0,309.0,205.0,211.0,271.0,103.0
0100110011101011,622.0,1022.0,685.0,412.0,724.0,123.0,115.0,22.0
1111011011111000,621.0,264.0,216.0,86.0,233.0,23.0,39.0,144.0
1100111010110010,621.0,1254.0,703.0,929.0,596.0,139.0,48.0,363.0
1100010111100111,619.0,898.0,317.0,238.0,317.0,111.0,100.0,191.0
1011101011100001,617.0,436.0,201.0,66.0,144.0,26.0,135.0,71.0
1011010010101001,617.0,514.0,446.0,698.0,233.0,539.0,123.0,770.0
1110010101101010,616.0,619.0,210.0,385.0,509.0,255.0,214.0,72.0
1110010010101100,615.0,564.0,436.0,480.0,171.0,218.0,106.0,390.0
1100010111111010,613.0,572.0,138.0,453.0,327.0,75.0,192.0,82.0
1101000111011000,612.0,258.0,159.0,338.0,76.0,84.0,106.0,50.0
1100010111101000,612.0,696.0,333.0,149.0,241.0,146.0,60.0,41.0
1111011101011000,609.0,349.0,161.0,238.0,206.0,93.0,104.0,234.0
1000010101001001,607.0,750.0,882.0,484.0,292.0,76.0,266.0,285.0
1100010101000011,606.0,773.0,315.0,466.0,393.0,73.0,214.0,249.0
1101100011101110,603.0,312.0,229.0,230.0,134.0,63.0,78.0,16.0
1100010011111010,603.0,757.0,341.0,182.0,201.0,123.0,82.0,44.0
1100011011001110,602.0,143.0,106.0,47.0,92.0,13.0,40.0,8.0
1100010011000011,602.0,689.0,191.0,160.0,715.0,135.0,101.0,122.0
1110010101110010,601.0,625.0,405.0,378.0,576.0,437.0,97.0,202.0
1110010111010011,600.0,454.0,242.0,311.0,360.0,89.0,89.0,274.0
1110010110010010,600.0,338.0,241.0,501.0,377.0,121.0,254.0,476.0
1100111011101011,600.0,320.0,167.0,236.0,246.0,35.0,18.0,10.0
1110010001000010,599.0,764.0,453.0,276.0,286.0,238.0,151.0,118.0
1100010101010100,599.0,564.0,243.0,185.0,128.0,65.0,233.0,125.0
1111011001100011,598.0,303.0,227.0,277.0,218.0,50.0,157.0,265.0
1110010101011010,598.0,421.0,188.0,430.0,364.0,178.0,159.0,275.0
1100010000001010,597.0,704.0,369.0,612.0,366.0,81.0,86.0,340.0
1110010111101010,594.0,689.0,403.0,281.0,314.0,147.0,203.0,77.0
1100011111011011,593.0,309.0,299.0,420.0,141.0,35.0,36.0,218.0
1001110010000101,593.0,556.0,431.0,969.0,335.0,133.0,379.0,1835.0
1100010111000011,592.0,816.0,232.0,289.0,338.0,33.0,172.0,83.0
1101000111101000,591.0,430.0,264.0,155.0,194.0,126.0,121.0,71.0
1101110011000010,587.0,704.0,422.0,158.0,619.0,44.0,102.0,53.0
1110010111100001,585.0,840.0,360.0,520.0,608.0,350.0,229.0,124.0
0101111111100011,585.0,537.0,257.0,377.0,417.0,39.0,45.0,95.0
1101101010000011,584.0,523.0,394.0,415.0,283.0,68.0,97.0,242.0
1100010111000000,584.0,459.0,117.0,192.0,207.0,26.0,57.0,9.0
1100010101100010,584.0,489.0,317.0,191.0,298.0,85.0,157.0,76.0
1111101001000011,582.0,591.0,278.0,588.0,188.0,123.0,63.0,347.0
1100010011011001,582.0,384.0,280.0,122.0,225.0,42.0,56.0,143.0
1000010001000000,582.0,383.0,224.0,244.0,234.0,95.0,297.0,46.0
1101001001001010,581.0,480.0,331.0,344.0,279.0,75.0,60.0,37.0
1100010001010011,581.0,513.0,327.0,441.0,149.0,67.0,199.0,388.0
1101000111000011,580.0,718.0,646.0,527.0,393.0,123.0,127.0,113.0
1100010001101001,579.0,771.0,435.0,376.0,339.0,177.0,241.0,308.0
1100010001110010,577.0,742.0,469.0,549.0,567.0,97.0,133.0,117.0
1101000000100000,576.0,179.0,69.0,80.0,82.0,37.0,27.0,80.0
1111100001000010,574.0,281.0,312.0,122.0,347.0,94.0,32.0,11.0
1100010001101100,573.0,729.0,216.0,289.0,228.0,265.0,198.0,200.0
1110010000000011,572.0,409.0,260.0,345.0,199.0,91.0,159.0,479.0
1101101011110011,572.0,450.0,179.0,295.0,151.0,38.0,89.0,91.0
0011010100001010,572.0,843.0,1393.0,1078.0,405.0,125.0,206.0,500.0
1110010111011011,571.0,600.0,259.0,477.0,325.0,151.0,143.0,455.0
1100010011110110,571.0,650.0,227.0,401.0,364.0,164.0,88.0,91.0
1101101011111010,570.0,458.0,93.0,230.0,185.0,44.0,56.0,51.0
1101101110100010,569.0,530.0,475.0,415.0,271.0,94.0,85.0,188.0
1100010111100001,567.0,920.0,312.0,307.0,383.0,125.0,146.0,125.0
1010010001000010,567.0,640.0,396.0,263.0,160.0,134.0,138.0,48.0
1100010101001011,565.0,617.0,341.0,365.0,286.0,129.0,224.0,102.0
1100011111000001,563.0,714.0,170.0,256.0,290.0,85.0,231.0,10.0
1100010011000111,563.0,524.0,229.0,283.0,345.0,135.0,163.0,49.0
1101000110100011,562.0,634.0,629.0,1020.0,305.0,112.0,110.0,633.0
1111011111101001,561.0,619.0,214.0,331.0,208.0,20.0,134.0,89.0
1101100101100010,561.0,362.0,284.0,145.0,314.0,18.0,126.0,30.0
1101011011101011,561.0,551.0,193.0,223.0,129.0,106.0,194.0,154.0
1100001101100011,561.0,327.0,191.0,263.0,317.0,97.0,82.0,97.0
1100010011101010,560.0,582.0,272.0,224.0,395.0,49.0,132.0,18.0
1100010111001110,559.0,492.0,191.0,247.0,270.0,119.0,61.0,44.0
1111000111100011,558.0,590.0,373.0,244.0,320.0,83.0,73.0,137.0
1110010001001011,558.0,433.0,308.0,395.0,324.0,157.0,119.0,125.0
1100010000000001,558.0,507.0,214.0,414.0,265.0,132.0,154.0,400.0
1110010100101010,557.0,236.0,143.0,200.0,176.0,146.0,62.0,123.0
1100010011111000,554.0,626.0,237.0,228.0,218.0,74.0,146.0,42.0
1100010011001011,554.0,644.0,317.0,508.0,424.0,123.0,249.0,70.0
1111101001001000,553.0,232.0,152.0,260.0,197.0,29.0,249.0,89.0
1110010111101011,553.0,711.0,313.0,417.0,389.0,72.0,122.0,80.0
1000010111010011,553.0,328.0,492.0,670.0,441.0,31.0,50.0,141.0
1110010110100010,552.0,501.0,410.0,599.0,255.0,188.0,40.0,249.0
1100101101111000,550.0,504.0,553.0,538.0,162.0,153.0,93.0,126.0
1100010001100010,550.0,668.0,283.0,316.0,538.0,192.0,149.0,52.0
1111011111110010,549.0,618.0,384.0,238.0,259.0,16.0,105.0,18.0
1110010100101001,549.0,453.0,223.0,398.0,178.0,63.0,95.0,491.0
1100010001001011,549.0,837.0,459.0,361.0,344.0,350.0,95.0,272.0
1111111011001001,547.0,212.0,298.0,236.0,166.0,34.0,40.0,47.0
1111011101001011,544.0,274.0,165.0,445.0,224.0,83.0,38.0,224.0
1111100000011001,543.0,536.0,142.0,303.0,142.0,64.0,182.0,653.0
1110010001111011,543.0,457.0,311.0,476.0,202.0,85.0,135.0,565.0
1101011011001010,543.0,719.0,211.0,399.0,594.0,60.0,95.0,25.0
1110010011001011,541.0,514.0,196.0,523.0,513.0,468.0,516.0,136.0
1100011001000101,541.0,603.0,152.0,237.0,209.0,28.0,380.0,316.0
1010010011110011,541.0,584.0,408.0,319.0,414.0,122.0,155.0,286.0
1110010101110011,540.0,724.0,387.0,307.0,330.0,82.0,125.0,430.0
1100010100011010,540.0,541.0,599.0,414.0,275.0,117.0,201.0,228.0
1100010011000010,540.0,1259.0,188.0,115.0,323.0,97.0,141.0,31.0
1100010000011011,540.0,571.0,318.0,481.0,359.0,353.0,246.0,580.0
1111011001001010,539.0,803.0,257.0,248.0,224.0,139.0,99.0,83.0
1100010001001000,539.0,782.0,435.0,338.0,263.0,177.0,118.0,34.0
1000010001000010,539.0,601.0,346.0,348.0,544.0,122.0,104.0,74.0
1100010001000000,538.0,526.0,182.0,184.0,513.0,200.0,381.0,57.0
1100010000000110,538.0,315.0,332.0,498.0,139.0,108.0,83.0,251.0
1000010001101001,538.0,308.0,276.0,115.0,267.0,21.0,153.0,47.0
1110010001111010,536.0,309.0,181.0,244.0,203.0,142.0,62.0,97.0
1111101110101110,534.0,606.0,480.0,1001.0,471.0,110.0,163.0,496.0
1100011000001110,534.0,258.0,244.0,284.0,79.0,22.0,123.0,94.0
1100010100010100,534.0,472.0,128.0,196.0,204.0,305.0,56.0,339.0
1100010011001101,534.0,437.0,481.0,249.0,281.0,173.0,192.0,151.0
1100010011010011,533.0,400.0,404.0,543.0,309.0,50.0,88.0,126.0
1110010111101101,532.0,395.0,106.0,345.0,241.0,52.0,156.0,279.0
1110010010100010,531.0,516.0,539.0,676.0,199.0,144.0,119.0,347.0
1101011011101001,531.0,423.0,176.0,224.0,110.0,61.0,117.0,65.0
1100011011101011,531.0,423.0,171.0,130.0,196.0,41.0,158.0,13.0
1100010100011101,531.0,756.0,550.0,655.0,421.0,204.0,486.0,919.0
1101101101100110,530.0,264.0,173.0,111.0,160.0,53.0,40.0,34.0
1110010010001011,529.0,564.0,216.0,345.0,306.0,80.0,109.0,325.0
1110010111101111,528.0,286.0,231.0,302.0,240.0,43.0,97.0,176.0
1111000011000010,527.0,429.0,105.0,141.0,171.0,25.0,73.0,11.0
1100010001000111,527.0,732.0,289.0,363.0,484.0,197.0,420.0,459.0
1100010011110001,526.0,509.0,260.0,219.0,155.0,159.0,44.0,249.0
1000010111001011,526.0,607.0,340.0,169.0,256.0,38.0,52.0,45.0
1100010101101010,525.0,1006.0,504.0,384.0,576.0,148.0,134.0,133.0
1010010011001001,525.0,693.0,84.0,458.0,236.0,76.0,89.0,98.0
1101000001101010,524.0,338.0,185.0,223.0,175.0,26.0,259.0,19.0
1000001001001000,524.0,504.0,320.0,169.0,151.0,47.0,85.0,43.0
1100010011100010,523.0,1164.0,228.0,123.0,334.0,35.0,152.0,4.0
1001001111111000,523.0,205.0,293.0,168.0,46.0,68.0,21.0,46.0
1101000111000111,521.0,179.0,315.0,303.0,120.0,40.0,32.0,137.0
1100010111010000,521.0,395.0,191.0,235.0,200.0,54.0,118.0,81.0
1110011011001011,520.0,397.0,225.0,364.0,237.0,31.0,165.0,130.0
1100010101111011,520.0,424.0,447.0,541.0,488.0,141.0,136.0,390.0
1101100000000000,519.0,221.0,188.0,107.0,57.0,20.0,61.0,97.0
1100010111000100,519.0,382.0,178.0,128.0,292.0,65.0,271.0,95.0
1010111001100010,519.0,543.0,316.0,269.0,206.0,34.0,92.0,17.0
1101000111001100,518.0,159.0,143.0,205.0,146.0,11.0,28.0,37.0
1101101111101111,515.0,325.0,349.0,315.0,398.0,60.0,77.0,98.0
1100010110110011,515.0,254.0,212.0,223.0,186.0,101.0,155.0,417.0
1111000001000010,513.0,430.0,319.0,403.0,273.0,86.0,284.0,157.0
1111000100001100,512.0,247.0,152.0,137.0,150.0,26.0,329.0,129.0
1110010100001011,512.0,402.0,206.0,248.0,372.0,114.0,282.0,249.0
1100101110101010,511.0,338.0,260.0,506.0,397.0,60.0,110.0,107.0
1100010001100001,511.0,891.0,487.0,305.0,439.0,251.0,189.0,155.0
1101101111101010,510.0,507.0,343.0,308.0,332.0,101.0,31.0,10.0
1101101001100011,510.0,493.0,245.0,377.0,208.0,93.0,117.0,113.0
1101101000001010,510.0,380.0,67.0,209.0,310.0,49.0,58.0,89.0
1011111110101110,510.0,446.0,562.0,687.0,293.0,16.0,81.0,536.0
1110010111101001,509.0,466.0,423.0,363.0,209.0,86.0,77.0,124.0
1110010100100010,509.0,542.0,339.0,332.0,159.0,70.0,150.0,381.0
