variant,counts_9114_e_F_8,counts_9114_e_F_7,counts_9114_e_F_6,counts_9114_e_F_4,counts_9114_e_F_5,counts_9114_e_F_1,counts_9114_e_F_2,counts_9114_e_F_3
1101010000111101,2378.0,1494.0,909.0,1199.0,1023.0,372.0,494.0,365.0
1111101010000111,2139.0,1169.0,718.0,1576.0,921.0,381.0,358.0,622.0
1000110100111000,2065.0,3068.0,1952.0,2565.0,2820.0,1139.0,666.0,991.0
1100010100011101,1560.0,674.0,786.0,828.0,584.0,549.0,572.0,361.0
1110010000110111,1553.0,901.0,1031.0,1091.0,602.0,198.0,314.0,413.0
1100010000011101,1516.0,460.0,652.0,288.0,465.0,756.0,113.0,299.0
0000000011100000,1481.0,2.0,38.0,64.0,40.0,29.0,24.0,2445.0
1101010100000001,1314.0,1056.0,404.0,399.0,212.0,162.0,218.0,272.0
1001000000011101,1291.0,681.0,421.0,555.0,287.0,144.0,387.0,284.0
1001110010000101,1199.0,1215.0,360.0,691.0,828.0,315.0,42.0,341.0
1110010010001101,1194.0,554.0,433.0,290.0,258.0,634.0,207.0,133.0
1011001100011101,1190.0,613.0,152.0,335.0,119.0,505.0,329.0,175.0
1110010110101101,1173.0,474.0,248.0,307.0,523.0,234.0,438.0,161.0
1100010100010001,1123.0,1529.0,760.0,789.0,669.0,641.0,261.0,723.0
1110010110010101,1098.0,206.0,269.0,389.0,396.0,173.0,178.0,91.0
1110010100010011,1086.0,636.0,396.0,711.0,420.0,195.0,169.0,242.0
1100010000011111,1082.0,323.0,516.0,309.0,232.0,169.0,130.0,116.0
1001111000001101,1054.0,668.0,391.0,589.0,857.0,766.0,318.0,200.0
1111001010100101,1039.0,320.0,235.0,544.0,241.0,164.0,75.0,279.0
1100010010011101,1022.0,531.0,357.0,413.0,463.0,237.0,96.0,194.0
1111010100001011,1021.0,944.0,213.0,609.0,527.0,486.0,307.0,475.0
1111000110100101,1015.0,365.0,222.0,346.0,290.0,497.0,187.0,194.0
1100010001101101,1010.0,684.0,640.0,698.0,669.0,134.0,75.0,273.0
1100010100011111,1006.0,634.0,366.0,335.0,295.0,182.0,74.0,174.0
1111000110010111,993.0,312.0,313.0,193.0,211.0,69.0,94.0,126.0
1100010110110001,986.0,958.0,955.0,1569.0,846.0,690.0,257.0,428.0
1101000001101101,978.0,483.0,280.0,296.0,365.0,398.0,189.0,195.0
1111000110011111,971.0,319.0,144.0,497.0,167.0,170.0,64.0,101.0
1111001100001011,966.0,371.0,345.0,343.0,310.0,187.0,296.0,233.0
1101101010011101,961.0,379.0,159.0,348.0,172.0,223.0,44.0,132.0
1110010110011011,948.0,563.0,240.0,539.0,328.0,129.0,161.0,219.0
1101101100011101,948.0,398.0,566.0,337.0,207.0,158.0,87.0,176.0
1101001100001101,946.0,243.0,90.0,123.0,81.0,70.0,101.0,83.0
0100010010011111,931.0,448.0,242.0,376.0,362.0,198.0,347.0,68.0
1110010001111101,928.0,503.0,449.0,452.0,572.0,161.0,262.0,214.0
1100010110011011,928.0,688.0,455.0,268.0,350.0,194.0,137.0,279.0
